Data,Saida_Estimada,Saida,Erro
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,0,0
2020-03-25,0,0
2020-03-26,0,1
2020-03-27,0,0
2020-03-28,0,0
2020-03-29,0,0
2020-03-30,0,0
2020-03-31,0,0
2020-04-01,0,0
2020-04-02,0,0
2020-04-03,0,1
2020-04-04,0,0
2020-04-05,0,1
2020-04-06,+,2
2020-04-07,1,-1
2020-04-08,+,2
2020-04-09,1,-1
2020-04-10,+,1
2020-04-11,+,2
2020-04-12,1,3
2020-04-13,2,-1
2020-04-14,1,-1
2020-04-15,+,+
2020-04-16,+,1
2020-04-17,+,+
2020-04-18,+,2
2020-04-19,1,-1
2020-04-20,+,1
2020-04-21,+,+
2020-04-22,+,2
2020-04-23,1,1
2020-04-24,1,+
2020-04-25,+,1
2020-04-26,+,+
2020-04-27,+,1
2020-04-28,+,1
2020-04-29,+,+
2020-04-30,+,2
2020-05-01,1,-1
2020-05-02,+,1
2020-05-03,+,+
2020-05-04,+,+
2020-05-05,+,8
2020-05-06,4,2
2020-05-07,5,-5
2020-05-08,1,2
2020-05-09,1,-1
2020-05-10,+,+
2020-05-11,+,2
2020-05-12,1,2
2020-05-13,2,7
2020-05-14,5,-2
2020-05-15,3,+
2020-05-16,2,+
2020-05-17,1,+
2020-05-18,+,3
2020-05-19,1,-1
2020-05-20,+,5
2020-05-21,2,5
2020-05-22,5,3
2020-05-23,6,-4
2020-05-24,2,-2
2020-05-25,+,1
2020-05-26,+,8
2020-05-27,4,+
2020-05-28,3,4
2020-05-29,4,+
2020-05-30,3,+
2020-05-31,2,+
2020-06-01,1,2
2020-06-02,2,22
2020-06-03,14,-10
2020-06-04,7,2
2020-06-05,6,-3
2020-06-06,3,2
2020-06-07,3,-2
2020-06-08,1,-1
2020-06-09,+,7
2020-06-10,4,4
2020-06-11,6,-5
2020-06-12,2,3
2020-06-13,3,11
2020-06-14,9,-6
2020-06-15,4,11
2020-06-16,9,11
2020-06-17,14,-8
2020-06-18,7,5
2020-06-19,8,9
2020-06-20,12,2
2020-06-21,11,-3
2020-06-22,7,1
2020-06-23,6,12
2020-06-24,12,22
2020-06-25,23,-2
2020-06-26,18,7
2020-06-27,18,2
2020-06-28,16,-10
2020-06-29,7,-5
2020-06-30,2,35
2020-07-01,21,8
2020-07-02,24,18
2020-07-03,30,11
2020-07-04,32,-7
2020-07-05,22,-12
2020-07-06,10,23
2020-07-07,21,26
2020-07-08,33,-1
2020-07-09,27,9
2020-07-10,27,11
2020-07-11,29,8
2020-07-12,29,-24
2020-07-13,10,-7
2020-07-14,2,26
2020-07-15,16,31
2020-07-16,32,27
2020-07-17,43,+
2020-07-18,36,14
2020-07-19,37,-24
2020-07-20,17,-3
2020-07-21,10,38
2020-07-22,30,9
2020-07-23,32,37
2020-07-24,47,23
2020-07-25,54,-8
2020-07-26,40,-26
2020-07-27,17,-9
2020-07-28,7,66
2020-07-29,43,38
2020-07-30,61,-51
2020-07-31,22,70
2020-08-01,55,-25
2020-08-02,35,-24
2020-08-03,12,7
2020-08-04,13,62
2020-08-05,47,-8
2020-08-06,37,21
2020-08-07,41,17
2020-08-08,45,17
2020-08-09,47,-35
2020-08-10,19,-16
2020-08-11,4,-4
2020-08-12,3,+
2020-08-13,4,+
2020-08-14,4,+
2020-08-15,4,+
2020-08-16,4,+
2020-08-17,4,+
2020-08-18,4,+
2020-08-19,4,+
2020-08-20,5,+
2020-08-21,5,+
2020-08-22,5,+
2020-08-23,5,+
2020-08-24,5,+
2020-08-25,5,+
2020-08-26,5,+
