Data,Saida_Estimada,Saida,Erro
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,0,0,0
2020-04-24,0,0,0
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,0,0,0
2020-04-28,0,0,0
2020-04-29,0,1,1
2020-04-30,0,1,1
2020-05-01,0,1,1
2020-05-02,0,1,1
2020-05-03,0,1,1
2020-05-04,0,1,1
2020-05-05,0,2,2
2020-05-06,1,2,1
2020-05-07,1,2,1
2020-05-08,1,2,1
2020-05-09,2,2,0
2020-05-10,1,2,1
2020-05-11,1,2,1
2020-05-12,1,2,1
2020-05-13,1,2,1
2020-05-14,1,2,1
2020-05-15,2,2,0
2020-05-16,1,2,1
2020-05-17,1,2,1
2020-05-18,1,2,1
2020-05-19,1,2,1
2020-05-20,1,2,1
2020-05-21,2,2,0
2020-05-22,1,2,1
2020-05-23,1,2,1
2020-05-24,1,2,1
2020-05-25,0,3,3
2020-05-26,1,3,2
2020-05-27,0,3,3
2020-05-28,0,3,3
2020-05-29,0,3,3
2020-05-30,1,4,3
2020-05-31,1,4,3
2020-06-01,2,4,2
2020-06-02,1,4,3
2020-06-03,1,4,3
2020-06-04,2,4,2
2020-06-05,2,4,2
2020-06-06,2,4,2
2020-06-07,1,5,4
2020-06-08,-8,+,+
2020-06-09,+,+,+
2020-06-10,8,+,+
2020-06-11,15,+,+
2020-06-12,22,+,+
2020-06-13,28,+,+
2020-06-14,33,+,+
2020-06-15,38,+,+
2020-06-16,42,+,+
2020-06-17,46,+,+
2020-06-18,50,+,+
2020-06-19,53,+,+
2020-06-20,56,+,+
2020-06-21,58,+,+
2020-06-22,61,+,+
