Data,Saida_Estimada,Data
2020-03-06,0,2020-03-06
2020-03-07,0,2020-03-07
2020-03-08,0,2020-03-08
2020-03-09,0,2020-03-09
2020-03-10,0,2020-03-10
2020-03-11,0,2020-03-11
2020-03-12,0,2020-03-12
2020-03-13,0,2020-03-13
2020-03-14,0,2020-03-14
2020-03-15,1,2020-03-15
2020-03-16,0,2020-03-16
2020-03-17,0,2020-03-17
2020-03-18,0,2020-03-18
2020-03-19,0,2020-03-19
2020-03-20,0,2020-03-20
2020-03-21,1,2020-03-21
2020-03-22,0,2020-03-22
2020-03-23,0,2020-03-23
2020-03-24,0,2020-03-24
2020-03-25,0,2020-03-25
2020-03-26,0,2020-03-26
2020-03-27,0,2020-03-27
2020-03-28,0,2020-03-28
2020-03-29,0,2020-03-29
2020-03-30,0,2020-03-30
2020-03-31,0,2020-03-31
2020-04-01,0,2020-04-01
2020-04-02,0,2020-04-02
2020-04-03,1,2020-04-03
2020-04-04,4,2020-04-04
2020-04-05,5,2020-04-05
2020-04-06,6,2020-04-06
2020-04-07,7,2020-04-07
2020-04-08,7,2020-04-08
2020-04-09,8,2020-04-09
2020-04-10,8,2020-04-10
2020-04-11,10,2020-04-11
2020-04-12,12,2020-04-12
2020-04-13,12,2020-04-13
2020-04-14,17,2020-04-14
2020-04-15,20,2020-04-15
2020-04-16,22,2020-04-16
2020-04-17,25,2020-04-17
2020-04-18,28,2020-04-18
2020-04-19,32,2020-04-19
2020-04-20,34,2020-04-20
2020-04-21,37,2020-04-21
2020-04-22,38,2020-04-22
2020-04-23,38,2020-04-23
2020-04-24,46,2020-04-24
2020-04-25,46,2020-04-25
2020-04-26,51,2020-04-26
2020-04-27,55,2020-04-27
2020-04-28,62,2020-04-28
2020-04-29,69,2020-04-29
2020-04-30,84,2020-04-30
2020-05-01,89,2020-05-01
2020-05-02,103,2020-05-02
2020-05-03,109,2020-05-03
2020-05-04,122,2020-05-04
2020-05-05,131,2020-05-05
2020-05-06,142,2020-05-06
2020-05-07,155,2020-05-07
2020-05-08,165,2020-05-08
2020-05-09,175,2020-05-09
2020-05-10,184,2020-05-10
2020-05-11,193,2020-05-11
2020-05-12,208,2020-05-12
2020-05-13,225,2020-05-13
2020-05-14,247,2020-05-14
2020-05-15,264,2020-05-15
2020-05-16,275,2020-05-16
2020-05-17,287,2020-05-17
2020-05-18,302,2020-05-18
2020-05-19,320,2020-05-19
2020-05-20,344,2020-05-20
2020-05-21,362,2020-05-21
2020-05-22,384,2020-05-22
2020-05-23,420,2020-05-23
2020-05-24,441,2020-05-24
2020-05-25,471,2020-05-25
2020-05-26,491,2020-05-26
2020-05-27,515,2020-05-27
'2020-05-28',544,+
'2020-05-29',576,+
'2020-05-30',609,+
'2020-05-31',644,+
'2020-06-01',681,+
'2020-06-02',720,+
'2020-06-03',761,+
'2020-06-04',804,+
'2020-06-05',849,+
'2020-06-06',897,+
'2020-06-07',945,+
'2020-06-08',996,+
'2020-06-09',1049,+
'2020-06-10',1106,+
'2020-06-11',1165,+
'2020-06-12',1227,+
'2020-06-13',1293,+
'2020-06-14',1362,+
'2020-06-15',1435,+
'2020-06-16',1512,+
