Data,Saida_Estimada,Data
2020-03-06,0,2020-03-06
2020-03-07,0,2020-03-07
2020-03-08,0,2020-03-08
2020-03-09,0,2020-03-09
2020-03-10,0,2020-03-10
2020-03-11,0,2020-03-11
2020-03-12,0,2020-03-12
2020-03-13,0,2020-03-13
2020-03-14,0,2020-03-14
2020-03-15,1,2020-03-15
2020-03-16,0,2020-03-16
2020-03-17,0,2020-03-17
2020-03-18,0,2020-03-18
2020-03-19,0,2020-03-19
2020-03-20,0,2020-03-20
2020-03-21,1,2020-03-21
2020-03-22,0,2020-03-22
2020-03-23,0,2020-03-23
2020-03-24,0,2020-03-24
2020-03-25,0,2020-03-25
2020-03-26,0,2020-03-26
2020-03-27,0,2020-03-27
2020-03-28,0,2020-03-28
2020-03-29,0,2020-03-29
2020-03-30,0,2020-03-30
2020-03-31,0,2020-03-31
2020-04-01,0,2020-04-01
2020-04-02,0,2020-04-02
2020-04-03,1,2020-04-03
2020-04-04,4,2020-04-04
2020-04-05,5,2020-04-05
2020-04-06,6,2020-04-06
2020-04-07,7,2020-04-07
2020-04-08,7,2020-04-08
2020-04-09,8,2020-04-09
2020-04-10,8,2020-04-10
2020-04-11,10,2020-04-11
2020-04-12,12,2020-04-12
2020-04-13,12,2020-04-13
2020-04-14,18,2020-04-14
2020-04-15,21,2020-04-15
2020-04-16,22,2020-04-16
2020-04-17,25,2020-04-17
2020-04-18,28,2020-04-18
2020-04-19,32,2020-04-19
2020-04-20,34,2020-04-20
2020-04-21,37,2020-04-21
2020-04-22,38,2020-04-22
2020-04-23,38,2020-04-23
2020-04-24,46,2020-04-24
2020-04-25,46,2020-04-25
2020-04-26,51,2020-04-26
2020-04-27,56,2020-04-27
2020-04-28,62,2020-04-28
2020-04-29,69,2020-04-29
2020-04-30,84,2020-04-30
2020-05-01,89,2020-05-01
2020-05-02,103,2020-05-02
2020-05-03,109,2020-05-03
2020-05-04,122,2020-05-04
2020-05-05,130,2020-05-05
2020-05-06,142,2020-05-06
2020-05-07,155,2020-05-07
2020-05-08,164,2020-05-08
2020-05-09,175,2020-05-09
2020-05-10,184,2020-05-10
2020-05-11,193,2020-05-11
2020-05-12,208,2020-05-12
2020-05-13,225,2020-05-13
2020-05-14,247,2020-05-14
2020-05-15,263,2020-05-15
2020-05-16,275,2020-05-16
2020-05-17,286,2020-05-17
2020-05-18,301,2020-05-18
2020-05-19,319,2020-05-19
2020-05-20,343,2020-05-20
2020-05-21,361,2020-05-21
2020-05-22,382,2020-05-22
2020-05-23,418,2020-05-23
2020-05-24,439,2020-05-24
2020-05-25,470,2020-05-25
2020-05-26,490,2020-05-26
2020-05-27,513,2020-05-27
2020-05-28,538,2020-05-28
2020-05-29,566,2020-05-29
2020-05-30,589,2020-05-30
'2020-05-31',618,+
'2020-06-01',648,+
'2020-06-02',680,+
'2020-06-03',714,+
'2020-06-04',749,+
'2020-06-05',786,+
'2020-06-06',825,+
'2020-06-07',866,+
'2020-06-08',909,+
'2020-06-09',954,+
'2020-06-10',1001,+
'2020-06-11',1051,+
'2020-06-12',1102,+
'2020-06-13',1157,+
'2020-06-14',1214,+
