Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0
2020-03-28,0,0
2020-03-29,0,0
2020-03-30,0,0
2020-03-31,0,0
2020-04-01,0,0
2020-04-02,0,0
2020-04-03,0,0
2020-04-04,0,0
2020-04-05,0,0
2020-04-06,0,0
2020-04-07,0,0
2020-04-08,0,0
2020-04-09,0,0
2020-04-10,0,0
2020-04-11,0,0
2020-04-12,0,0
2020-04-13,0,1
2020-04-14,1,1
2020-04-15,2,0
2020-04-16,2,0
2020-04-17,2,0
2020-04-18,2,0
2020-04-19,2,0
2020-04-20,2,0
2020-04-21,2,0
2020-04-22,2,0
2020-04-23,2,1
2020-04-24,3,0
2020-04-25,3,0
2020-04-26,3,1
2020-04-27,4,0
2020-04-28,4,0
2020-04-29,4,0
2020-04-30,4,0
2020-05-01,4,0
2020-05-02,4,0
2020-05-03,4,0
2020-05-04,4,0
2020-05-05,4,0
2020-05-06,4,0
2020-05-07,4,+
2020-05-08,4,+
2020-05-09,4,+
2020-05-10,4,+
2020-05-11,4,+
2020-05-12,4,+
2020-05-13,4,+
2020-05-14,4,1
2020-05-15,5,+
2020-05-16,5,+
2020-05-17,5,1
2020-05-18,6,+
2020-05-19,6,+
2020-05-20,6,+
2020-05-21,6,+
2020-05-22,6,+
2020-05-23,6,+
2020-05-24,6,2
2020-05-25,8,+
2020-05-26,8,+
2020-05-27,8,+
2020-05-28,8,+
2020-05-29,8,+
2020-05-30,8,+
2020-05-31,8,+
2020-06-01,8,+
2020-06-02,8,+
2020-06-03,8,+
2020-06-04,8,+
2020-06-05,8,+
2020-06-06,8,+
2020-06-07,8,+
2020-06-08,8,+
2020-06-09,8,+
2020-06-10,8,+
2020-06-11,8,+
2020-06-12,8,1
2020-06-13,9,+
2020-06-14,9,2
2020-06-15,11,+
2020-06-16,11,+
2020-06-17,11,+
2020-06-18,11,5
2020-06-19,17,1
2020-06-20,18,4
2020-06-21,23,-1
2020-06-22,22,3
2020-06-23,26,3
2020-06-24,30,2
2020-06-25,33,-1
2020-06-26,32,+
2020-06-27,32,2
2020-06-28,35,4
2020-06-29,40,-1
2020-06-30,40,-1
2020-07-01,40,-1
2020-07-02,40,1
2020-07-03,42,5
2020-07-04,49,2
2020-07-05,53,1
2020-07-06,55,3
2020-07-07,60,-2
2020-07-08,59,3
2020-07-09,64,-2
2020-07-10,63,-1
2020-07-11,63,+
2020-07-12,64,1
2020-07-13,67,2
2020-07-14,71,1
2020-07-15,74,-2
2020-07-16,73,-1
2020-07-17,73,1
2020-07-18,76,1
2020-07-19,79,-2
2020-07-20,79,3
2020-07-21,85,-3
2020-07-22,84,-84
2020-07-23,86,+
2020-07-24,89,+
2020-07-25,92,+
2020-07-26,96,+
2020-07-27,99,+
2020-07-28,102,+
2020-07-29,106,+
2020-07-30,110,+
2020-07-31,113,+
2020-08-01,117,+
2020-08-02,121,+
2020-08-03,125,+
2020-08-04,130,+
2020-08-05,134,+
2020-08-06,139,+
