Data,Saida_Estimada,Saida,Erro
2020-04-19,0,0
2020-04-20,0,0
2020-04-21,0,0
2020-04-22,0,0
2020-04-23,0,0
2020-04-24,0,0
2020-04-25,0,0
2020-04-26,0,0
2020-04-27,0,0
2020-04-28,1,1
2020-04-29,1,1
2020-04-30,1,1
2020-05-01,1,1
2020-05-02,1,1
2020-05-03,1,2
2020-05-04,1,2
2020-05-05,2,2
2020-05-06,2,2
2020-05-07,2,2
2020-05-08,2,2
2020-05-09,2,2
2020-05-10,2,2
2020-05-11,2,2
2020-05-12,2,2
2020-05-13,2,2
2020-05-14,2,2
2020-05-15,2,2
2020-05-16,2,2
2020-05-17,2,3
2020-05-18,2,3
2020-05-19,3,3
2020-05-20,3,3
2020-05-21,3,3
2020-05-22,3,3
2020-05-23,3,3
2020-05-24,3,3
2020-05-25,3,3
2020-05-26,3,3
2020-05-27,3,3
2020-05-28,3,4
2020-05-29,4,4
2020-05-30,4,4
2020-05-31,4,4
2020-06-01,4,4
2020-06-02,4,4
2020-06-03,4,4
2020-06-04,4,4
2020-06-05,4,4
2020-06-06,4,4
2020-06-07,4,4
2020-06-08,4,4
2020-06-09,4,4.64767e-316
2020-06-10,4,+
2020-06-11,4,+
2020-06-12,4,+
2020-06-13,4,+
2020-06-14,4,+
2020-06-15,4,+
2020-06-16,4,+
2020-06-17,4,+
2020-06-18,4,+
2020-06-19,4,+
2020-06-20,4,+
2020-06-21,4,+
2020-06-22,4,+
2020-06-23,5,+
2020-06-24,5,+
