Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,0,0,0
2020-04-24,0,0,0
2020-04-25,0,0,0
2020-04-26,0,1,1
2020-04-27,1,1,0
2020-04-28,1,1,0
2020-04-29,1,1,0
2020-04-30,1,1,0
2020-05-01,1,1,0
2020-05-02,1,1,0
2020-05-03,1,1,0
2020-05-04,1,1,0
2020-05-05,1,1,0
2020-05-06,1,1,0
2020-05-07,1,2,1
2020-05-08,2,2,+
2020-05-09,2,2,+
2020-05-10,2,2,+
2020-05-11,2,2,+
2020-05-12,2,2,+
2020-05-13,2,2,+
2020-05-14,2,3,1
2020-05-15,3,4,1
2020-05-16,4,4,+
2020-05-17,4,4,+
2020-05-18,4,6,2
2020-05-19,6,7,1
2020-05-20,7,7,+
2020-05-21,7,7,+
2020-05-22,7,8,1
2020-05-23,8,9,1
2020-05-24,9,9,+
2020-05-25,9,9,+
2020-05-26,9,9,+
2020-05-27,9,9,+
2020-05-28,9,10,1
2020-05-29,10,11,1
2020-05-30,11,11,+
2020-05-31,11,12,1
2020-06-01,12,12,+
2020-06-02,12,12,+
2020-06-03,12,12,+
2020-06-04,12,12,+
2020-06-05,12,12,+
2020-06-06,12,13,1
2020-06-07,13,13,+
2020-06-08,13,13,+
2020-06-09,13,14,1
2020-06-10,14,14,+
2020-06-11,14,15,1
2020-06-12,15,15,+
2020-06-13,15,15,+
2020-06-14,15,16,1
2020-06-15,16,16,+
2020-06-16,16,17,1
2020-06-17,17,17,+
2020-06-18,17,17,+
2020-06-19,17,17,+
2020-06-20,17,17,+
2020-06-21,17,19,2
2020-06-22,19,19,+
2020-06-23,19,19,+
2020-06-24,19,19,+
2020-06-25,19,19,+
2020-06-26,19,20,1
2020-06-27,20,21,1
2020-06-28,21,21,+
2020-06-29,21,21,+
2020-06-30,21,21,+
2020-07-01,21,21,+
2020-07-02,21,21,+
2020-07-03,21,23,2
2020-07-04,23,24,1
2020-07-05,24,24,+
2020-07-06,24,26,2
2020-07-07,26,26,+
2020-07-08,26,28,2
2020-07-09,28,28,+
2020-07-10,28,28,+
2020-07-11,28,28,+
2020-07-12,28,28,+
2020-07-13,28,29,1
2020-07-14,29,29,+
2020-07-15,29,29,+
2020-07-16,29,30,1
2020-07-17,30,30,+
2020-07-18,30,30,+
2020-07-19,30,30,+
2020-07-20,30,30,+
2020-07-21,30,30,+
2020-07-22,30,32,2
2020-07-23,32,32,+
2020-07-24,32,32,+
2020-07-25,32,32,+
2020-07-26,32,32,+
2020-07-27,32.3544,33,0.645633
2020-07-28,32.7268,33,0.273202
2020-07-29,33.1041,33,-0.104073
2020-07-30,33.4857,33,-0.485719
2020-07-31,33.8718,33,-0.871766
2020-08-01,34.2623,33,-1.26226
2020-08-02,34.6573,33,-1.65726
2020-08-03,35.0568,33,-2.05682
2020-08-04,35.461,33,-2.46098
2020-08-05,35.8698,33,-2.8698
2020-08-06,36.2833,33,-3.28333
2020-08-07,36.7016,33,-3.70163
2020-08-08,37.1248,33,-4.12475
2020-08-09,37.5528,33,-4.55275
2020-08-10,37.9857,33,-4.98569
2020-08-11,38.4236,5.45943e-321,-38.4236
