Data,Saida_Estimada,Data
2020-03-27,0,2020-03-27
2020-03-28,0,2020-03-28
2020-03-29,0,2020-03-29
2020-03-30,0,2020-03-30
2020-03-31,0,2020-03-31
2020-04-01,2,2020-04-01
2020-04-02,2,2020-04-02
2020-04-03,2,2020-04-03
2020-04-04,2,2020-04-04
2020-04-05,2,2020-04-05
2020-04-06,2,2020-04-06
2020-04-07,2,2020-04-07
2020-04-08,4,2020-04-08
2020-04-09,4,2020-04-09
2020-04-10,4,2020-04-10
2020-04-11,4,2020-04-11
2020-04-12,4,2020-04-12
2020-04-13,5,2020-04-13
2020-04-14,5,2020-04-14
2020-04-15,5,2020-04-15
2020-04-16,6,2020-04-16
2020-04-17,9,2020-04-17
2020-04-18,8,2020-04-18
2020-04-19,11,2020-04-19
2020-04-20,10,2020-04-20
2020-04-21,11,2020-04-21
2020-04-22,11,2020-04-22
2020-04-23,12,2020-04-23
2020-04-24,15,2020-04-24
2020-04-25,15,2020-04-25
2020-04-26,16,2020-04-26
2020-04-27,17,2020-04-27
2020-04-28,18,2020-04-28
2020-04-29,18,2020-04-29
2020-04-30,18,2020-04-30
2020-05-01,19,2020-05-01
2020-05-02,20,2020-05-02
2020-05-03,20,2020-05-03
2020-05-04,23,2020-05-04
2020-05-05,22,2020-05-05
2020-05-06,22,2020-05-06
2020-05-07,26,2020-05-07
2020-05-08,29,2020-05-08
2020-05-09,28,2020-05-09
2020-05-10,29,2020-05-10
2020-05-11,32,2020-05-11
2020-05-12,32,2020-05-12
2020-05-13,35,2020-05-13
2020-05-14,35,2020-05-14
2020-05-15,35,2020-05-15
2020-05-16,36,2020-05-16
2020-05-17,36,2020-05-17
2020-05-18,37,2020-05-18
2020-05-19,37,2020-05-19
2020-05-20,40,2020-05-20
2020-05-21,45,2020-05-21
2020-05-22,50,2020-05-22
2020-05-23,51,2020-05-23
2020-05-24,53,2020-05-24
2020-05-25,52,2020-05-25
2020-05-26,58,2020-05-26
2020-05-27,78,2020-05-27
2020-05-28,85,2020-05-28
2020-05-29,101,2020-05-29
2020-05-30,98,2020-05-30
2020-05-31,103,2020-05-31
2020-06-01,101,2020-06-01
2020-06-02,101,2020-06-02
2020-06-03,104,2020-06-03
2020-06-04,106,2020-06-04
2020-06-05,118,2020-06-05
2020-06-06,132,2020-06-06
2020-06-07,129,2020-06-07
2020-06-08,125,2020-06-08
2020-06-09,132,2020-06-09
2020-06-10,132,2020-06-10
2020-06-11,136,2020-06-11
2020-06-12,140,2020-06-12
2020-06-13,138,2020-06-13
2020-06-14,138,2020-06-14
2020-06-15,140,2020-06-15
2020-06-16,138,2020-06-16
2020-06-17,144,2020-06-17
2020-06-18,145,2020-06-18
2020-06-19,153,2020-06-19
2020-06-20,152,2020-06-20
2020-06-21,157,2020-06-21
2020-06-22,156,2020-06-22
2020-06-23,156,2020-06-23
2020-06-24,164,2020-06-24
'2020-06-25',163,+
'2020-06-26',166,+
'2020-06-27',169,+
'2020-06-28',173,+
'2020-06-29',178,+
'2020-06-30',182,+
'2020-07-01',186,+
'2020-07-02',191,+
'2020-07-03',196,+
'2020-07-04',201,+
'2020-07-05',206,+
'2020-07-06',211,+
'2020-07-07',216,+
'2020-07-08',221,+
'2020-07-09',227,+
'2020-07-10',232,+
