Data,Saida_Estimada,Data
2020-03-28,0,2020-03-28
2020-03-29,0,2020-03-29
2020-03-30,0,2020-03-30
2020-03-31,0,2020-03-31
2020-04-01,0,2020-04-01
2020-04-02,0,2020-04-02
2020-04-03,1,2020-04-03
2020-04-04,1,2020-04-04
2020-04-05,0,2020-04-05
2020-04-06,1,2020-04-06
2020-04-07,2,2020-04-07
2020-04-08,2,2020-04-08
2020-04-09,3,2020-04-09
2020-04-10,3,2020-04-10
2020-04-11,3,2020-04-11
2020-04-12,2,2020-04-12
2020-04-13,5,2020-04-13
2020-04-14,4,2020-04-14
2020-04-15,4,2020-04-15
2020-04-16,5,2020-04-16
2020-04-17,5,2020-04-17
2020-04-18,5,2020-04-18
2020-04-19,5,2020-04-19
2020-04-20,6,2020-04-20
2020-04-21,6,2020-04-21
2020-04-22,6,2020-04-22
2020-04-23,7,2020-04-23
2020-04-24,8,2020-04-24
2020-04-25,8,2020-04-25
2020-04-26,9,2020-04-26
2020-04-27,10,2020-04-27
2020-04-28,10,2020-04-28
2020-04-29,11,2020-04-29
2020-04-30,12,2020-04-30
2020-05-01,13,2020-05-01
2020-05-02,12,2020-05-02
2020-05-03,12,2020-05-03
2020-05-04,13,2020-05-04
2020-05-05,14,2020-05-05
2020-05-06,16,2020-05-06
2020-05-07,17,2020-05-07
2020-05-08,17,2020-05-08
2020-05-09,19,2020-05-09
2020-05-10,20,2020-05-10
2020-05-11,22,2020-05-11
2020-05-12,23,2020-05-12
2020-05-13,24,2020-05-13
2020-05-14,24,2020-05-14
2020-05-15,32,2020-05-15
2020-05-16,38,2020-05-16
2020-05-17,39,2020-05-17
2020-05-18,40,2020-05-18
2020-05-19,42,2020-05-19
2020-05-20,46,2020-05-20
2020-05-21,49,2020-05-21
2020-05-22,51,2020-05-22
2020-05-23,55,2020-05-23
2020-05-24,54,2020-05-24
2020-05-25,65,2020-05-25
2020-05-26,70,2020-05-26
2020-05-27,71,2020-05-27
2020-05-28,80,2020-05-28
2020-05-29,83,2020-05-29
2020-05-30,90,2020-05-30
2020-05-31,104,2020-05-31
2020-06-01,110,2020-06-01
2020-06-02,112,2020-06-02
2020-06-03,122,2020-06-03
2020-06-04,133,2020-06-04
'2020-06-05',145,+
'2020-06-06',155,+
'2020-06-07',166,+
'2020-06-08',178,+
'2020-06-09',191,+
'2020-06-10',204,+
'2020-06-11',219,+
'2020-06-12',234,+
'2020-06-13',251,+
'2020-06-14',269,+
'2020-06-15',288,+
'2020-06-16',309,+
'2020-06-17',331,+
'2020-06-18',354,+
'2020-06-19',380,+
