Data,Saida_Estimada,Data
2020-02-25,0,2020-02-25
2020-02-26,0,2020-02-26
2020-02-27,0,2020-02-27
2020-02-28,0,2020-02-28
2020-02-29,0,2020-02-29
2020-03-01,0,2020-03-01
2020-03-02,0,2020-03-02
2020-03-03,0,2020-03-03
2020-03-04,0,2020-03-04
2020-03-05,0,2020-03-05
2020-03-06,0,2020-03-06
2020-03-07,0,2020-03-07
2020-03-08,0,2020-03-08
2020-03-09,0,2020-03-09
2020-03-10,0,2020-03-10
2020-03-11,0,2020-03-11
2020-03-12,0,2020-03-12
2020-03-13,0,2020-03-13
2020-03-14,0,2020-03-14
2020-03-15,0,2020-03-15
2020-03-16,0,2020-03-16
2020-03-17,0,2020-03-17
2020-03-18,0,2020-03-18
2020-03-19,0,2020-03-19
2020-03-20,0,2020-03-20
2020-03-21,0,2020-03-21
2020-03-22,0,2020-03-22
2020-03-23,0,2020-03-23
2020-03-24,0,2020-03-24
2020-03-25,0,2020-03-25
2020-03-26,0,2020-03-26
2020-03-27,0,2020-03-27
2020-03-28,0,2020-03-28
2020-03-29,0,2020-03-29
2020-03-30,0,2020-03-30
2020-03-31,1,2020-03-31
2020-04-01,2,2020-04-01
2020-04-02,3,2020-04-02
2020-04-03,4,2020-04-03
2020-04-04,6,2020-04-04
2020-04-05,6,2020-04-05
2020-04-06,6,2020-04-06
2020-04-07,9,2020-04-07
2020-04-08,11,2020-04-08
2020-04-09,14,2020-04-09
2020-04-10,15,2020-04-10
2020-04-11,17,2020-04-11
2020-04-12,17,2020-04-12
2020-04-13,21,2020-04-13
2020-04-14,24,2020-04-14
2020-04-15,28,2020-04-15
2020-04-16,31,2020-04-16
2020-04-17,34,2020-04-17
2020-04-18,36,2020-04-18
2020-04-19,41,2020-04-19
2020-04-20,40,2020-04-20
2020-04-21,43,2020-04-21
2020-04-22,46,2020-04-22
2020-04-23,49,2020-04-23
2020-04-24,53,2020-04-24
2020-04-25,56,2020-04-25
2020-04-26,61,2020-04-26
2020-04-27,64,2020-04-27
2020-04-28,65,2020-04-28
2020-04-29,75,2020-04-29
2020-04-30,84,2020-04-30
2020-05-01,86,2020-05-01
2020-05-02,92,2020-05-02
2020-05-03,92,2020-05-03
2020-05-04,93,2020-05-04
2020-05-05,94,2020-05-05
2020-05-06,98,2020-05-06
2020-05-07,101,2020-05-07
2020-05-08,111,2020-05-08
2020-05-09,116,2020-05-09
2020-05-10,124,2020-05-10
2020-05-11,124,2020-05-11
2020-05-12,126,2020-05-12
2020-05-13,133,2020-05-13
2020-05-14,142,2020-05-14
2020-05-15,145,2020-05-15
2020-05-16,153,2020-05-16
2020-05-17,157,2020-05-17
2020-05-18,163,2020-05-18
2020-05-19,169,2020-05-19
2020-05-20,175,2020-05-20
2020-05-21,186,2020-05-21
2020-05-22,201,2020-05-22
2020-05-23,211,2020-05-23
2020-05-24,228,2020-05-24
2020-05-25,237,2020-05-25
2020-05-26,241,2020-05-26
2020-05-27,245,2020-05-27
2020-05-28,251,2020-05-28
2020-05-29,268,2020-05-29
2020-05-30,269,2020-05-30
2020-05-31,276,2020-05-31
2020-06-01,284,2020-06-01
2020-06-02,291,2020-06-02
2020-06-03,303,2020-06-03
2020-06-04,321,2020-06-04
2020-06-05,339,2020-06-05
2020-06-06,362,2020-06-06
2020-06-07,387,2020-06-07
2020-06-08,394,2020-06-08
2020-06-09,398,2020-06-09
2020-06-10,419,2020-06-10
2020-06-11,429,2020-06-11
2020-06-12,453,2020-06-12
2020-06-13,468,2020-06-13
2020-06-14,476,2020-06-14
2020-06-15,499,2020-06-15
2020-06-16,504,2020-06-16
2020-06-17,527,2020-06-17
2020-06-18,565,2020-06-18
2020-06-19,599,2020-06-19
2020-06-20,631,2020-06-20
2020-06-21,669,2020-06-21
2020-06-22,694,2020-06-22
2020-06-23,723,2020-06-23
2020-06-24,756,2020-06-24
2020-06-25,811,2020-06-25
2020-06-26,847,2020-06-26
2020-06-27,875,2020-06-27
2020-06-28,928,2020-06-28
2020-06-29,943,2020-06-29
2020-06-30,988,2020-06-30
2020-07-01,1013,2020-07-01
2020-07-02,1058,2020-07-02
2020-07-03,1113,2020-07-03
2020-07-04,1167,2020-07-04
2020-07-05,1245,2020-07-05
2020-07-06,1259,2020-07-06
2020-07-07,1291,2020-07-07
2020-07-08,1347,2020-07-08
2020-07-09,1425,2020-07-09
2020-07-10,1521,2020-07-10
2020-07-11,1580,2020-07-11
2020-07-12,1627,2020-07-12
2020-07-13,1653,2020-07-13
2020-07-14,1695,2020-07-14
2020-07-15,1774,2020-07-15
2020-07-16,1840,2020-07-16
2020-07-17,1928,2020-07-17
2020-07-18,2000,2020-07-18
'2020-07-19',2062,+
'2020-07-20',2168,+
'2020-07-21',2280,+
'2020-07-22',2398,+
'2020-07-23',2522,+
'2020-07-24',2653,+
'2020-07-25',2790,+
'2020-07-26',2934,+
'2020-07-27',3086,+
'2020-07-28',3246,+
'2020-07-29',3414,+
'2020-07-30',3590,+
'2020-07-31',3776,+
'2020-08-01',3972,+
'2020-08-02',4177,+
'2020-08-03',4393,+
