Data,Saida_Estimada,Data
2020-02-25,0,2020-02-25
2020-02-26,0,2020-02-26
2020-02-27,0,2020-02-27
2020-02-28,0,2020-02-28
2020-02-29,0,2020-02-29
2020-03-01,0,2020-03-01
2020-03-02,0,2020-03-02
2020-03-03,0,2020-03-03
2020-03-04,0,2020-03-04
2020-03-05,0,2020-03-05
2020-03-06,0,2020-03-06
2020-03-07,0,2020-03-07
2020-03-08,0,2020-03-08
2020-03-09,0,2020-03-09
2020-03-10,0,2020-03-10
2020-03-11,0,2020-03-11
2020-03-12,0,2020-03-12
2020-03-13,0,2020-03-13
2020-03-14,0,2020-03-14
2020-03-15,0,2020-03-15
2020-03-16,0,2020-03-16
2020-03-17,0,2020-03-17
2020-03-18,0,2020-03-18
2020-03-19,0,2020-03-19
2020-03-20,0,2020-03-20
2020-03-21,0,2020-03-21
2020-03-22,0,2020-03-22
2020-03-23,0,2020-03-23
2020-03-24,0,2020-03-24
2020-03-25,0,2020-03-25
2020-03-26,0,2020-03-26
2020-03-27,0,2020-03-27
2020-03-28,0,2020-03-28
2020-03-29,0,2020-03-29
2020-03-30,0,2020-03-30
2020-03-31,0,2020-03-31
2020-04-01,2,2020-04-01
2020-04-02,3,2020-04-02
2020-04-03,4,2020-04-03
2020-04-04,6,2020-04-04
2020-04-05,6,2020-04-05
2020-04-06,6,2020-04-06
2020-04-07,9,2020-04-07
2020-04-08,11,2020-04-08
2020-04-09,14,2020-04-09
2020-04-10,15,2020-04-10
2020-04-11,17,2020-04-11
2020-04-12,17,2020-04-12
2020-04-13,20,2020-04-13
2020-04-14,24,2020-04-14
2020-04-15,28,2020-04-15
2020-04-16,31,2020-04-16
2020-04-17,34,2020-04-17
2020-04-18,36,2020-04-18
2020-04-19,40,2020-04-19
2020-04-20,41,2020-04-20
2020-04-21,43,2020-04-21
2020-04-22,46,2020-04-22
2020-04-23,49,2020-04-23
2020-04-24,53,2020-04-24
2020-04-25,56,2020-04-25
2020-04-26,61,2020-04-26
2020-04-27,64,2020-04-27
2020-04-28,65,2020-04-28
2020-04-29,74,2020-04-29
2020-04-30,83,2020-04-30
2020-05-01,86,2020-05-01
2020-05-02,92,2020-05-02
2020-05-03,92,2020-05-03
2020-05-04,93,2020-05-04
2020-05-05,95,2020-05-05
2020-05-06,99,2020-05-06
2020-05-07,102,2020-05-07
2020-05-08,111,2020-05-08
2020-05-09,116,2020-05-09
2020-05-10,124,2020-05-10
2020-05-11,125,2020-05-11
2020-05-12,127,2020-05-12
2020-05-13,133,2020-05-13
2020-05-14,142,2020-05-14
2020-05-15,146,2020-05-15
2020-05-16,153,2020-05-16
2020-05-17,158,2020-05-17
2020-05-18,164,2020-05-18
2020-05-19,169,2020-05-19
2020-05-20,176,2020-05-20
2020-05-21,186,2020-05-21
2020-05-22,200,2020-05-22
2020-05-23,211,2020-05-23
2020-05-24,228,2020-05-24
2020-05-25,238,2020-05-25
2020-05-26,242,2020-05-26
2020-05-27,246,2020-05-27
2020-05-28,253,2020-05-28
2020-05-29,268,2020-05-29
2020-05-30,271,2020-05-30
2020-05-31,277,2020-05-31
2020-06-01,285,2020-06-01
2020-06-02,293,2020-06-02
2020-06-03,304,2020-06-03
2020-06-04,322,2020-06-04
2020-06-05,340,2020-06-05
2020-06-06,362,2020-06-06
2020-06-07,387,2020-06-07
2020-06-08,396,2020-06-08
2020-06-09,401,2020-06-09
2020-06-10,420,2020-06-10
2020-06-11,431,2020-06-11
2020-06-12,453,2020-06-12
2020-06-13,470,2020-06-13
2020-06-14,479,2020-06-14
2020-06-15,500,2020-06-15
2020-06-16,507,2020-06-16
2020-06-17,528,2020-06-17
2020-06-18,564,2020-06-18
2020-06-19,599,2020-06-19
2020-06-20,631,2020-06-20
2020-06-21,669,2020-06-21
2020-06-22,696,2020-06-22
2020-06-23,725,2020-06-23
2020-06-24,758,2020-06-24
2020-06-25,811,2020-06-25
2020-06-26,849,2020-06-26
2020-06-27,878,2020-06-27
2020-06-28,928,2020-06-28
2020-06-29,948,2020-06-29
2020-06-30,990,2020-06-30
2020-07-01,1017,2020-07-01
2020-07-02,1061,2020-07-02
2020-07-03,1115,2020-07-03
2020-07-04,1169,2020-07-04
2020-07-05,1244,2020-07-05
2020-07-06,1267,2020-07-06
2020-07-07,1297,2020-07-07
2020-07-08,1350,2020-07-08
2020-07-09,1426,2020-07-09
2020-07-10,1520,2020-07-10
'2020-07-11',1585,+
'2020-07-12',1669,+
'2020-07-13',1757,+
'2020-07-14',1851,+
'2020-07-15',1949,+
'2020-07-16',2052,+
'2020-07-17',2161,+
'2020-07-18',2276,+
'2020-07-19',2397,+
'2020-07-20',2524,+
'2020-07-21',2659,+
'2020-07-22',2800,+
'2020-07-23',2948,+
'2020-07-24',3105,+
'2020-07-25',3270,+
'2020-07-26',3444,+
