Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,0,0,0
2020-04-24,0,0,0
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,0,0,0
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,0,0,0
2020-05-01,0,0,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,0,0,0
2020-05-05,0,0,0
2020-05-06,0,0,0
2020-05-07,+,1,1
2020-05-08,+,1,1
2020-05-09,1,1,+
2020-05-10,1,1,+
2020-05-11,1,1,+
2020-05-12,1,2,1
2020-05-13,1,2,1
2020-05-14,2,3,1
2020-05-15,2,3,1
2020-05-16,3,3,+
2020-05-17,3,4,1
2020-05-18,3,4,1
2020-05-19,4,4,+
2020-05-20,4,4,+
2020-05-21,4,4,+
2020-05-22,4,4,+
2020-05-23,4,5,1
2020-05-24,4,5,1
2020-05-25,5,5,+
2020-05-26,5,5,+
2020-05-27,5,6,1
2020-05-28,5,6,1
2020-05-29,6,6,+
2020-05-30,6,8,2
2020-05-31,7,8,1
2020-06-01,8,8,+
2020-06-02,8,8,+
2020-06-03,8,10,2
2020-06-04,9,10,1
2020-06-05,10,10,+
2020-06-06,10,11,1
2020-06-07,11,11,+
2020-06-08,11,11,+
2020-06-09,11,11,+
2020-06-10,11,11,+
2020-06-11,11,11,+
2020-06-12,11,11,+
2020-06-13,11,11,+
2020-06-14,11,12,1
2020-06-15,12,12,+
2020-06-16,12,14,2
2020-06-17,13,14,1
2020-06-18,14,16,2
2020-06-19,15,16,1
2020-06-20,16,17,1
2020-06-21,17,20,3
2020-06-22,19,21,2
2020-06-23,21,22,1
2020-06-24,22,22,+
2020-06-25,22,23,1
2020-06-26,23,24,1
2020-06-27,24,25,1
2020-06-28,25,25,+
2020-06-29,25,25,+
2020-06-30,25,25,+
2020-07-01,25,25,+
2020-07-02,25,26,1
2020-07-03,26,26,+
2020-07-04,26,27,1
2020-07-05,27,27,+
2020-07-06,28,29,1
2020-07-07,29,29,+
2020-07-08,30,30,+
2020-07-09,30.8425,33,2.15754
2020-07-10,31.7656,33,1.23436
2020-07-11,32.6994,36,3.30061
2020-07-12,33.6657,38,4.33432
2020-07-13,34.659,38,3.34099
2020-07-14,35.6821,39,3.3179
2020-07-15,36.7353,40,3.26475
2020-07-16,37.8195,42,4.18047
2020-07-17,38.9358,43,4.0642
2020-07-18,40.085,44,3.91498
2020-07-19,41.2682,44,2.73184
2020-07-20,42.4862,47,4.51378
2020-07-21,43.7402,47,3.25977
2020-07-22,45.0313,49,3.96874
2020-07-23,46.3604,49,2.63961
2020-07-24,47.7288,1.46293e-320,-47.7288
