Data,Saida_Estimada,Saida,Erro
2020-03-27,0,0
2020-03-28,0,0
2020-03-29,0,0
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,1,0
2020-04-05,2,0
2020-04-06,2,0
2020-04-07,2,0
2020-04-08,2,0
2020-04-09,2,0
2020-04-10,2,0
2020-04-11,2,1
2020-04-12,2,1
2020-04-13,3,1
2020-04-14,3,2
2020-04-15,5,1
2020-04-16,6,0
2020-04-17,6,0
2020-04-18,6,2
2020-04-19,7,1
2020-04-20,8,2
2020-04-21,10,0
2020-04-22,10,2
2020-04-23,12,1
2020-04-24,13,0
2020-04-25,13,1
2020-04-26,14,0
2020-04-27,14,0
2020-04-28,14,0
2020-04-29,14,14
2020-04-30,27,3
2020-05-01,30,7
2020-05-02,37,4
2020-05-03,41,1
2020-05-04,43,-1
2020-05-05,43,0
2020-05-06,44,2
2020-05-07,46,2
2020-05-08,49,2
2020-05-09,52,+
2020-05-10,53,-1
2020-05-11,53,2
2020-05-12,56,2
2020-05-13,59,17
2020-05-14,75,5
2020-05-15,81,3
2020-05-16,85,5
2020-05-17,91,-1
2020-05-18,92,-2
2020-05-19,92,7
2020-05-20,100,1
2020-05-21,103,+
2020-05-22,105,1
2020-05-23,108,3
2020-05-24,113,-2
2020-05-25,113,2
2020-05-26,117,5
2020-05-27,124,4
2020-05-28,130,-2
2020-05-29,131,11
2020-05-30,144,3
2020-05-31,150,-3
2020-06-01,150,1
2020-06-02,154,-1
2020-06-03,156,10
2020-06-04,168,-1
2020-06-05,171,-4
2020-06-06,171,-3
2020-06-07,172,-5
2020-06-08,171,23
2020-06-09,196,+
2020-06-10,201,-2
2020-06-11,204,14
2020-06-12,221,1
2020-06-13,227,-6
2020-06-14,227,-4
2020-06-15,228,-5
2020-06-16,228,7
2020-06-17,239,-4
2020-06-18,241,-1
2020-06-19,245,-4
2020-06-20,247,32
2020-06-21,282,+
2020-06-22,289,-7
2020-06-23,289,-7
2020-06-24,289,13
2020-06-25,307,11
2020-06-26,324,5
2020-06-27,336,2
2020-06-28,346,-6
2020-06-29,348,123
2020-06-30,468,3
2020-07-01,483,1
2020-07-02,495,-1
2020-07-03,506,-9
2020-07-04,510,-5
2020-07-05,517,-9
2020-07-06,521,-13
2020-07-07,521,-7
2020-07-08,527,2
2020-07-09,541,1
2020-07-10,555,-2
2020-07-11,566,-12
2020-07-12,568,-1
2020-07-13,580,-11
2020-07-14,584,-9
2020-07-15,589,-6
2020-07-16,597,-11
2020-07-17,601,-14
2020-07-18,602,19
2020-07-19,633,-7
2020-07-20,642,-10
2020-07-21,648,1
2020-07-22,664,10
2020-07-23,689,-689
2020-07-24,702,+
2020-07-25,715,+
2020-07-26,729,+
2020-07-27,743,+
2020-07-28,758,+
2020-07-29,773,+
2020-07-30,788,+
2020-07-31,803,+
2020-08-01,819,+
2020-08-02,836,+
2020-08-03,852,+
2020-08-04,870,+
2020-08-05,887,+
2020-08-06,905,+
2020-08-07,924,+
