Data,Saida_Estimada,Saida,Erro
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,1
2020-03-18,1,3
2020-03-19,5,-1
2020-03-20,4,5
2020-03-21,11,4
2020-03-22,18,4
2020-03-23,25,5
2020-03-24,34,6
2020-03-25,45,3
2020-03-26,52,6
2020-03-27,63,5
2020-03-28,73,11
2020-03-29,92,6
2020-03-30,105,8
2020-03-31,121,15
2020-04-01,148,16
2020-04-02,179,9
2020-04-03,201,18
2020-04-04,236,24
2020-04-05,282,-7
2020-04-06,285,19
2020-04-07,321,50
2020-04-08,407,21
2020-04-09,460,36
2020-04-10,534,6
2020-04-11,567,-7
2020-04-12,575,13
2020-04-13,607,1
2020-04-14,623,72
2020-04-15,744,34
2020-04-16,826,27
2020-04-17,898,30
2020-04-18,974,17
2020-04-19,1031,-16
2020-04-20,1036,1
2020-04-21,1057,36
2020-04-22,1131,3
2020-04-23,1165,180
2020-04-24,1463,49
2020-04-25,1609,58
2020-04-26,1760,-60
2020-04-27,1732,93
2020-04-28,1904,145
2020-04-29,2180,67
2020-04-30,2366,9
2020-05-01,2461,50
2020-05-02,2602,-16
2020-05-03,2647,-20
2020-05-04,2671,-17
2020-05-05,2692,159
2020-05-06,2976,69
2020-05-07,3170,36
2020-05-08,3316,100
2020-05-09,3552,56
2020-05-10,3737,-28
2020-05-11,3794,-51
2020-05-12,3794,155
2020-05-13,4088,30
2020-05-14,4240,75
2020-05-15,4453,48
2020-05-16,4635,53
2020-05-17,4825,-43
2020-05-18,4873,-50
2020-05-19,4888,259
2020-05-20,5356,7
2020-05-21,5520,38
2020-05-22,5707,66
2020-05-23,5934,111
2020-05-24,6237,-74
2020-05-25,6279,-59
2020-05-26,6306,117
2020-05-27,6584,128
2020-05-28,6918,62
2020-05-29,7178,97
2020-05-30,7490,42
2020-05-31,7730,-115
2020-06-01,7727,-60
2020-06-02,7764,230
2020-06-03,8231,45
2020-06-04,8494,66
2020-06-05,8781,61
2020-06-06,9065,-7
2020-06-07,9250,-105
2020-06-08,9273,-85
2020-06-09,9295,227
2020-06-10,9777,85
2020-06-11,10123,22
2020-06-12,10380,-12
2020-06-13,10575,6
2020-06-14,10785,-91
2020-06-15,10850,-83
2020-06-16,10903,229
2020-06-17,11418,103
2020-06-18,11822,24
2020-06-19,12118,114
2020-06-20,12538,-44
2020-06-21,12741,-153
2020-06-22,12752,-118
2020-06-23,12774,294
2020-06-24,13406,-54
2020-06-25,13618,141
2020-06-26,14090,-124
2020-06-27,14199,64
2020-06-28,14544,-206
2020-06-29,14508,-110
2020-06-30,14561,202
2020-07-01,15082,-52
2020-07-02,15303,48
2020-07-03,15654,40
2020-07-04,16011,-15
2020-07-05,16295,-217
2020-07-06,16268,-134
2020-07-07,16312,163
2020-07-08,16798,-10
2020-07-09,17100,18
2020-07-10,17442,+
2020-07-11,17766,-64
2020-07-12,17996,-148
2020-07-13,18087,-180
2020-07-14,18103,221
2020-07-15,18703,-63
2020-07-16,18971,67
2020-07-17,19414,-37
2020-07-18,19726,-79
2020-07-19,19964,-232
2020-07-20,19958,-170
2020-07-21,20000,171
2020-07-22,20550,-18
2020-07-23,20903,-20903
2020-07-24,21203,+
2020-07-25,21497,+
2020-07-26,21790,+
2020-07-27,22086,+
2020-07-28,22387,+
2020-07-29,22692,+
2020-07-30,23002,+
2020-07-31,23318,+
2020-08-01,23639,+
2020-08-02,23966,+
2020-08-03,24300,+
2020-08-04,24639,+
2020-08-05,24984,+
2020-08-06,25336,+
2020-08-07,25695,+
