Data,Saida_Estimada,Data
2020-03-28,0,2020-03-28
2020-03-29,0,2020-03-29
2020-03-30,0,2020-03-30
2020-03-31,0,2020-03-31
2020-04-01,0,2020-04-01
2020-04-02,0,2020-04-02
2020-04-03,0,2020-04-03
2020-04-04,0,2020-04-04
2020-04-05,2,2020-04-05
2020-04-06,2,2020-04-06
2020-04-07,2,2020-04-07
2020-04-08,2,2020-04-08
2020-04-09,5,2020-04-09
2020-04-10,9,2020-04-10
2020-04-11,9,2020-04-11
2020-04-12,11,2020-04-12
2020-04-13,11,2020-04-13
2020-04-14,14,2020-04-14
2020-04-15,18,2020-04-15
2020-04-16,18,2020-04-16
2020-04-17,21,2020-04-17
2020-04-18,22,2020-04-18
2020-04-19,23,2020-04-19
2020-04-20,24,2020-04-20
2020-04-21,26,2020-04-21
2020-04-22,28,2020-04-22
2020-04-23,32,2020-04-23
2020-04-24,34,2020-04-24
2020-04-25,37,2020-04-25
2020-04-26,40,2020-04-26
2020-04-27,41,2020-04-27
2020-04-28,42,2020-04-28
2020-04-29,44,2020-04-29
2020-04-30,49,2020-04-30
2020-05-01,53,2020-05-01
2020-05-02,57,2020-05-02
2020-05-03,62,2020-05-03
2020-05-04,65,2020-05-04
2020-05-05,68,2020-05-05
2020-05-06,72,2020-05-06
2020-05-07,79,2020-05-07
2020-05-08,85,2020-05-08
2020-05-09,96,2020-05-09
2020-05-10,103,2020-05-10
2020-05-11,113,2020-05-11
2020-05-12,117,2020-05-12
2020-05-13,126,2020-05-13
2020-05-14,131,2020-05-14
2020-05-15,134,2020-05-15
2020-05-16,140,2020-05-16
2020-05-17,145,2020-05-17
2020-05-18,151,2020-05-18
2020-05-19,159,2020-05-19
2020-05-20,168,2020-05-20
2020-05-21,174,2020-05-21
2020-05-22,185,2020-05-22
2020-05-23,186,2020-05-23
2020-05-24,190,2020-05-24
2020-05-25,200,2020-05-25
2020-05-26,206,2020-05-26
2020-05-27,212,2020-05-27
2020-05-28,218,2020-05-28
2020-05-29,229,2020-05-29
2020-05-30,237,2020-05-30
2020-05-31,254,2020-05-31
2020-06-01,263,2020-06-01
2020-06-02,268,2020-06-02
2020-06-03,273,2020-06-03
2020-06-04,297,2020-06-04
2020-06-05,309,2020-06-05
2020-06-06,318,2020-06-06
2020-06-07,330,2020-06-07
'2020-06-08',340,+
'2020-06-09',353,+
'2020-06-10',368,+
'2020-06-11',383,+
'2020-06-12',399,+
'2020-06-13',415,+
'2020-06-14',432,+
'2020-06-15',450,+
'2020-06-16',468,+
'2020-06-17',487,+
'2020-06-18',507,+
'2020-06-19',528,+
'2020-06-20',550,+
'2020-06-21',572,+
'2020-06-22',596,+
'2020-06-23',620,+
