Data,Saida_Estimada,Data
2020-03-27,0,2020-03-27
2020-03-28,4,2020-03-28
2020-03-29,4,2020-03-29
2020-03-30,5,2020-03-30
2020-03-31,5,2020-03-31
2020-04-01,7,2020-04-01
2020-04-02,9,2020-04-02
2020-04-03,10,2020-04-03
2020-04-04,11,2020-04-04
2020-04-05,14,2020-04-05
2020-04-06,14,2020-04-06
2020-04-07,14,2020-04-07
2020-04-08,14,2020-04-08
2020-04-09,15,2020-04-09
2020-04-10,15,2020-04-10
2020-04-11,17,2020-04-11
2020-04-12,19,2020-04-12
2020-04-13,20,2020-04-13
2020-04-14,20,2020-04-14
2020-04-15,22,2020-04-15
2020-04-16,25,2020-04-16
2020-04-17,28,2020-04-17
2020-04-18,38,2020-04-18
2020-04-19,40,2020-04-19
2020-04-20,41,2020-04-20
2020-04-21,42,2020-04-21
2020-04-22,44,2020-04-22
2020-04-23,49,2020-04-23
2020-04-24,49,2020-04-24
2020-04-25,51,2020-04-25
2020-04-26,52,2020-04-26
2020-04-27,56,2020-04-27
2020-04-28,58,2020-04-28
2020-04-29,62,2020-04-29
2020-04-30,66,2020-04-30
2020-05-01,67,2020-05-01
2020-05-02,70,2020-05-02
2020-05-03,70,2020-05-03
2020-05-04,70,2020-05-04
2020-05-05,70,2020-05-05
2020-05-06,74,2020-05-06
2020-05-07,77,2020-05-07
2020-05-08,85,2020-05-08
2020-05-09,87,2020-05-09
2020-05-10,87,2020-05-10
2020-05-11,92,2020-05-11
2020-05-12,98,2020-05-12
2020-05-13,103,2020-05-13
2020-05-14,114,2020-05-14
2020-05-15,117,2020-05-15
2020-05-16,126,2020-05-16
2020-05-17,137,2020-05-17
2020-05-18,139,2020-05-18
2020-05-19,141,2020-05-19
2020-05-20,160,2020-05-20
2020-05-21,162,2020-05-21
2020-05-22,169,2020-05-22
2020-05-23,171,2020-05-23
2020-05-24,181,2020-05-24
2020-05-25,194,2020-05-25
2020-05-26,196,2020-05-26
2020-05-27,213,2020-05-27
2020-05-28,240,2020-05-28
2020-05-29,261,2020-05-29
2020-05-30,274,2020-05-30
2020-05-31,294,2020-05-31
2020-06-01,316,2020-06-01
2020-06-02,331,2020-06-02
2020-06-03,343,2020-06-03
2020-06-04,376,2020-06-04
2020-06-05,412,2020-06-05
2020-06-06,463,2020-06-06
2020-06-07,508,2020-06-07
2020-06-08,537,2020-06-08
2020-06-09,539,2020-06-09
2020-06-10,520,2020-06-10
2020-06-11,609,2020-06-11
2020-06-12,645,2020-06-12
2020-06-13,704,2020-06-13
2020-06-14,749,2020-06-14
2020-06-15,817,2020-06-15
2020-06-16,829,2020-06-16
2020-06-17,828,2020-06-17
2020-06-18,843,2020-06-18
2020-06-19,921,2020-06-19
2020-06-20,931,2020-06-20
2020-06-21,947,2020-06-21
2020-06-22,973,2020-06-22
2020-06-23,1029,2020-06-23
2020-06-24,1111,2020-06-24
2020-06-25,1117,2020-06-25
2020-06-26,1136,2020-06-26
2020-06-27,1171,2020-06-27
2020-06-28,1044,2020-06-28
2020-06-29,1067,2020-06-29
2020-06-30,1095,2020-06-30
2020-07-01,1193,2020-07-01
2020-07-02,1259,2020-07-02
2020-07-03,1337,2020-07-03
2020-07-04,1384,2020-07-04
2020-07-05,1448,2020-07-05
2020-07-06,1466,2020-07-06
2020-07-07,1533,2020-07-07
2020-07-08,1627,2020-07-08
2020-07-09,1645,2020-07-09
2020-07-10,1771,2020-07-10
2020-07-11,1902,2020-07-11
2020-07-12,2524,2020-07-12
2020-07-13,2577,2020-07-13
2020-07-14,2616,2020-07-14
2020-07-15,2670,2020-07-15
2020-07-16,2717,2020-07-16
2020-07-17,2792,2020-07-17
2020-07-18,2910,2020-07-18
2020-07-19,2910,2020-07-19
2020-07-20,2914,2020-07-20
2020-07-21,3203,2020-07-21
2020-07-22,3215,2020-07-22
'2020-07-23',3258,+
'2020-07-24',3379,+
'2020-07-25',3506,+
'2020-07-26',3638,+
'2020-07-27',3774,+
'2020-07-28',3916,+
'2020-07-29',4064,+
'2020-07-30',4217,+
'2020-07-31',4375,+
'2020-08-01',4540,+
'2020-08-02',4710,+
'2020-08-03',4888,+
'2020-08-04',5071,+
'2020-08-05',5262,+
'2020-08-06',5460,+
'2020-08-07',5665,+
