Data,Saida_Estimada,Saida,Erro
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,1,1
,0,1,1
,0,1,1
,0,1,1
,0,1,1
,0,1,1
,0,1,1
,1,1,0
,1,2,1
,2,2,0
,2,2,0
,2,2,0
,2,2,0
,2,3,1
,3,4,1
,4,4,0
,4,4,0
,4,4,+
,4,4,+
,4,4,+
,4,4,+
,4,4,+
,4,5,1
,4,+,+
,4,+,+
,4,+,+
,4,+,+
,4,+,+
,4,+,+
,4,+,+
,4,+,+
,4,+,+
,4,+,+
,1,+,+
,-1,+,+
,-3,+,+
,-5,+,+
,-6,+,+
,-8,+,+
,-9,+,+
,-10,+,+
,-11,+,+
,-12,+,+
,-12,+,+
,-13,+,+
,-13,+,+
,-13,+,+
,-14,+,+
