Data,SURSRSOA43017
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,2.0
2020-04-10,3.0
2020-04-11,3.0
2020-04-12,3.0
2020-04-13,3.0
2020-04-14,3.0
2020-04-15,4.0
2020-04-16,4.0
2020-04-17,4.0
2020-04-18,5.0
2020-04-19,5.0
2020-04-20,6.0
2020-04-21,6.0
2020-04-22,6.0
2020-04-23,8.0
2020-04-24,8.0
2020-04-25,8.0
2020-04-26,8.0
2020-04-27,11.0
2020-04-28,13.0
2020-04-29,13.0
2020-04-30,13.0
2020-05-01,13.0
2020-05-02,15.0
2020-05-03,16.0
2020-05-04,18.0
2020-05-05,19.0
2020-05-06,20.0
2020-05-07,20.0
2020-05-08,21.0
2020-05-09,21.0
2020-05-10,21.0
2020-05-11,21.0
2020-05-12,26.0
2020-05-13,26.0
2020-05-14,26.0
2020-05-15,27.0
2020-05-16,27.0
2020-05-17,28.0
2020-05-18,28.0
2020-05-19,30.0
2020-05-20,31.0
2020-05-21,31.0
2020-05-22,35.0
2020-05-23,36.0
2020-05-24,37.0
2020-05-25,38.0
2020-05-26,38.0
2020-05-27,38.0
2020-05-28,38.0
2020-05-29,39.0
2020-05-30,39.0
2020-05-31,39.0
2020-06-01,39.0
2020-06-02,40.0
2020-06-03,42.0
2020-06-04,44.0
2020-06-05,44.0
2020-06-06,44.0
2020-06-07,44.0
2020-06-08,44.0
2020-06-09,44.0
2020-06-10,44.0
2020-06-11,44.0
2020-06-12,47.0
2020-06-13,47.0
2020-06-14,48.0
