Data,CNPiR_An
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,7.0
2020-03-19,10.0
2020-03-20,9.0
2020-03-21,11.0
2020-03-22,7.0
2020-03-23,6.0
2020-03-24,9.0
2020-03-25,16.0
2020-03-26,21.0
2020-03-27,17.0
2020-03-28,14.0
2020-03-29,15.0
2020-03-30,7.0
2020-03-31,24.0
2020-04-01,45.0
2020-04-02,28.0
2020-04-03,49.0
2020-04-04,94.0
2020-04-05,43.0
2020-04-06,20.0
2020-04-07,45.0
2020-04-08,36.0
2020-04-09,70.0
2020-04-10,34.0
2020-04-11,33.0
2020-04-12,62.0
2020-04-13,18.0
2020-04-14,35.0
2020-04-15,12.0
2020-04-16,29.0
2020-04-17,42.0
2020-04-18,71.0
2020-04-19,42.0
2020-04-20,20.0
2020-04-21,17.0
2020-04-22,39.0
2020-04-23,19.0
2020-04-24,37.0
2020-04-25,21.0
2020-04-26,16.0
2020-04-27,30.0
2020-04-28,85.0
2020-04-29,77.0
2020-04-30,59.0
2020-05-01,40.0
2020-05-02,45.0
2020-05-03,22.0
2020-05-04,48.0
2020-05-05,26.0
2020-05-06,39.0
2020-05-07,29.0
2020-05-08,55.0
2020-05-09,74.0
2020-05-10,50.0
2020-05-11,14.0
2020-05-12,57.0
2020-05-13,90.0
2020-05-14,67.0
2020-05-15,76.0
2020-05-16,103.0
2020-05-17,44.0
2020-05-18,74.0
2020-05-19,121.0
2020-05-20,135.0
2020-05-21,194.0
2020-05-22,129.0
2020-05-23,160.0
2020-05-24,113.0
2020-05-25,119.0
2020-05-26,181.0
2020-05-27,200.0
2020-05-28,272.0
2020-05-29,252.0
2020-05-30,237.0
2020-05-31,214.0
2020-06-01,148.0
