Data,NEMARSOA21008
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,2.0
2020-04-19,2.0
2020-04-20,3.0
2020-04-21,3.0
2020-04-22,3.0
2020-04-23,3.0
2020-04-24,3.0
2020-04-25,3.0
2020-04-26,4.0
2020-04-27,4.0
2020-04-28,5.0
2020-04-29,5.0
2020-04-30,7.0
2020-05-01,7.0
2020-05-02,9.0
2020-05-03,12.0
2020-05-04,12.0
2020-05-05,15.0
2020-05-06,17.0
2020-05-07,17.0
2020-05-08,18.0
2020-05-09,20.0
2020-05-10,22.0
2020-05-11,24.0
2020-05-12,24.0
2020-05-13,33.0
2020-05-14,38.0
2020-05-15,39.0
2020-05-16,41.0
2020-05-17,41.0
2020-05-18,47.0
2020-05-19,54.0
2020-05-20,55.0
2020-05-21,60.0
2020-05-22,61.0
2020-05-23,71.0
2020-05-24,73.0
2020-05-25,74.0
2020-05-26,74.0
2020-05-27,85.0
2020-05-28,91.0
2020-05-29,99.0
2020-05-30,106.0
2020-05-31,109.0
2020-06-01,113.0
2020-06-02,113.0
2020-06-03,114.0
2020-06-04,120.0
2020-06-05,128.0
2020-06-06,130.0
2020-06-07,132.0
2020-06-08,141.0
2020-06-09,141.0
2020-06-10,153.0
2020-06-11,162.0
2020-06-12,174.0
2020-06-13,175.0
2020-06-14,176.0
2020-06-15,183.0
2020-06-16,189.0
2020-06-17,195.0
2020-06-18,195.0
2020-06-19,214.0
2020-06-20,221.0
2020-06-21,231.0
2020-06-22,237.0
2020-06-23,242.0
2020-06-24,246.0
2020-06-25,249.0
