Data,NECERSOA23016
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,6.0
2020-05-17,9.0
2020-05-18,10.0
2020-05-19,9.0
2020-05-20,9.0
2020-05-21,9.0
2020-05-22,9.0
2020-05-23,10.0
2020-05-24,10.0
2020-05-25,10.0
2020-05-26,10.0
2020-05-27,11.0
2020-05-28,12.0
2020-05-29,12.0
2020-05-30,13.0
2020-05-31,13.0
2020-06-01,16.0
2020-06-02,19.0
2020-06-03,19.0
2020-06-04,27.0
2020-06-05,27.0
2020-06-06,31.0
2020-06-07,33.0
2020-06-08,35.0
2020-06-09,39.0
