Data,OAPiE_An
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,1.0
2020-03-26,3.0
2020-03-27,4.0
2020-03-28,5.0
2020-03-29,5.0
2020-03-30,6.0
2020-03-31,6.0
2020-04-01,8.0
2020-04-02,9.0
2020-04-03,10.0
2020-04-04,14.0
2020-04-05,21.0
2020-04-06,30.0
2020-04-07,34.0
2020-04-08,46.0
2020-04-09,56.0
2020-04-10,65.0
2020-04-11,72.0
2020-04-12,85.0
2020-04-13,102.0
2020-04-14,115.0
2020-04-15,143.0
2020-04-16,160.0
2020-04-17,186.0
2020-04-18,205.0
2020-04-19,216.0
2020-04-20,234.0
2020-04-21,260.0
2020-04-22,282.0
2020-04-23,312.0
2020-04-24,352.0
2020-04-25,381.0
2020-04-26,415.0
2020-04-27,450.0
2020-04-28,508.0
2020-04-29,538.0
2020-04-30,565.0
2020-05-01,603.0
2020-05-02,628.0
2020-05-03,652.0
2020-05-04,691.0
2020-05-05,749.0
2020-05-06,803.0
2020-05-07,845.0
2020-05-08,927.0
2020-05-09,972.0
2020-05-10,1047.0
2020-05-11,1087.0
2020-05-12,1157.0
2020-05-13,1224.0
2020-05-14,1298.0
2020-05-15,1381.0
2020-05-16,1461.0
2020-05-17,1516.0
2020-05-18,1640.0
2020-05-19,1741.0
2020-05-20,1834.0
2020-05-21,1925.0
2020-05-22,2057.0
2020-05-23,2144.0
2020-05-24,2200.0
2020-05-25,2248.0
2020-05-26,2328.0
2020-05-27,2468.0
2020-05-28,2566.0
2020-05-29,2669.0
2020-05-30,2740.0
2020-05-31,2807.0
2020-06-01,2875.0
2020-06-02,2933.0
2020-06-03,3012.0
2020-06-04,3134.0
2020-06-05,3205.0
2020-06-06,3270.0
2020-06-07,3305.0
2020-06-08,3350.0
2020-06-09,3453.0
2020-06-10,3531.0
2020-06-11,3633.0
2020-06-12,3694.0
2020-06-13,3784.0
2020-06-14,3855.0
2020-06-15,3886.0
2020-06-16,3959.0
2020-06-17,4009.0
2020-06-18,4057.0
2020-06-19,4102.0
2020-06-20,4148.0
2020-06-21,4234.0
2020-06-22,4252.0
2020-06-23,4339.0
2020-06-24,4425.0
2020-06-25,4488.0
2020-06-26,4610.0
2020-06-27,4708.0
2020-06-28,4751.0
2020-06-29,4782.0
2020-06-30,4829.0
2020-07-01,4894.0
2020-07-02,4968.0
2020-07-03,5068.0
2020-07-04,5116.0
2020-07-05,5143.0
2020-07-06,5163.0
2020-07-07,5234.0
2020-07-08,5323.0
2020-07-09,5409.0
2020-07-10,5482.0
2020-07-11,5556.0
2020-07-12,5595.0
2020-07-13,5652.0
2020-07-14,5715.0
2020-07-15,5772.0
2020-07-16,5836.0
2020-07-17,5869.0
2020-07-18,5928.0
2020-07-19,5984.0
2020-07-20,6036.0
2020-07-21,6089.0
2020-07-22,6152.0
