Data,EANBiR_An
43886.0,0
43887.0,0
43888.0,0
43889.0,0
43890.0,0
43891.0,0
43892.0,0
43893.0,0
43894.0,0
43895.0,0
43896.0,0
43897.0,0
43898.0,0
43899.0,0
43900.0,0
43901.0,0
43902.0,0
43903.0,0
43904.0,0
43905.0,0
43906.0,0
43907.0,0
43908.0,0
43909.0,0
43910.0,0
43911.0,0
43912.0,0
43913.0,0
43914.0,0
43915.0,0
43916.0,0
43917.0,0
43918.0,0
43919.0,0
43920.0,0
43921.0,0
43922.0,0
43923.0,0
43924.0,0
43925.0,0
43926.0,0
43927.0,0
43928.0,0
43929.0,0
43930.0,0
43931.0,0
43932.0,0
43933.0,0
43934.0,0
43935.0,0
43936.0,0
43937.0,0
43938.0,0
43939.0,0
43940.0,14062.0
43941.0,15015.0
43942.0,16013.0
43943.0,17533.0
43944.0,19606.0
43945.0,21670.0
43946.0,25333.0
43947.0,27531.0
43948.0,30816.0
43949.0,34325.0
43950.0,38564.0
43951.0,43544.0
43952.0,47221.0
43953.0,48872.0
43954.0,51131.0
43955.0,55273.0
43956.0,58573.0
43957.0,65312.0
43958.0,70610.0
43959.0,76134.0
43960.0,83627.0
43961.0,86619.0
43962.0,89429.0
43963.0,92593.0
43964.0,97402.0
43965.0,109446.0
43966.0,118436.0
43967.0,127837.0
43968.0,130840.0
43969.0,136969.0
43970.0,146863.0
43971.0,156037.0
43972.0,164080.0
43973.0,174412.0
43974.0,182798.0
43975.0,190634.0
43976.0,197592.0
43977.0,208117.0
43978.0,219576.0
43979.0,233880.0
43980.0,247812.0
43981.0,268714.0
43982.0,278331.0
43983.0,285430.0
43984.0,300546.0
43985.0,312851.0
43986.0,325957.0
