Data,OAMiG_An
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,1.0
2020-03-31,2.0
2020-04-01,3.0
2020-04-02,4.0
2020-04-03,6.0
2020-04-04,6.0
2020-04-05,6.0
2020-04-06,9.0
2020-04-07,11.0
2020-04-08,14.0
2020-04-09,15.0
2020-04-10,17.0
2020-04-11,17.0
2020-04-12,20.0
2020-04-13,23.0
2020-04-14,27.0
2020-04-15,30.0
2020-04-16,33.0
2020-04-17,35.0
2020-04-18,39.0
2020-04-19,39.0
2020-04-20,41.0
2020-04-21,44.0
2020-04-22,47.0
2020-04-23,51.0
2020-04-24,54.0
2020-04-25,58.0
2020-04-26,61.0
2020-04-27,62.0
2020-04-28,71.0
2020-04-29,80.0
2020-04-30,82.0
2020-05-01,88.0
2020-05-02,88.0
2020-05-03,89.0
2020-05-04,90.0
2020-05-05,94.0
2020-05-06,97.0
2020-05-07,106.0
2020-05-08,111.0
2020-05-09,118.0
2020-05-10,119.0
2020-05-11,121.0
2020-05-12,127.0
2020-05-13,135.0
2020-05-14,139.0
2020-05-15,146.0
2020-05-16,150.0
2020-05-17,156.0
2020-05-18,161.0
2020-05-19,167.0
2020-05-20,177.0
2020-05-21,191.0
2020-05-22,201.0
2020-05-23,217.0
2020-05-24,226.0
2020-05-25,230.0
2020-05-26,234.0
2020-05-27,240.0
2020-05-28,255.0
2020-05-29,257.0
2020-05-30,263.0
2020-05-31,271.0
2020-06-01,278.0
2020-06-02,289.0
2020-06-03,306.0
2020-06-04,323.0
2020-06-05,344.0
2020-06-06,368.0
2020-06-07,376.0
2020-06-08,380.0
2020-06-09,399.0
2020-06-10,409.0
2020-06-11,431.0
2020-06-12,446.0
2020-06-13,454.0
2020-06-14,475.0
2020-06-15,481.0
2020-06-16,502.0
2020-06-17,537.0
2020-06-18,570.0
2020-06-19,600.0
2020-06-20,636.0
2020-06-21,661.0
2020-06-22,688.0
2020-06-23,720.0
2020-06-24,771.0
2020-06-25,806.0
2020-06-26,833.0
2020-06-27,882.0
2020-06-28,899.0
2020-06-29,940.0
2020-06-30,965.0
2020-07-01,1007.0
2020-07-02,1059.0
2020-07-03,1110.0
2020-07-04,1183.0
2020-07-05,1201.0
2020-07-06,1230.0
2020-07-07,1282.0
2020-07-08,1355.0
2020-07-09,1445.0
2020-07-10,1504.0
2020-07-11,1550.0
2020-07-12,1576.0
2020-07-13,1615.0
2020-07-14,1688.0
2020-07-15,1752.0
2020-07-16,1834.0
2020-07-17,1904.0
2020-07-18,1964.0
