Data,SUSCRSCA42006
2020-03-27,0.0
2020-03-28,17.0
2020-03-29,18.0
2020-03-30,18.0
2020-03-31,26.0
2020-04-01,26.0
2020-04-02,29.0
2020-04-03,29.0
2020-04-04,33.0
2020-04-05,36.0
2020-04-06,37.0
2020-04-07,63.0
2020-04-08,72.0
2020-04-09,76.0
2020-04-10,87.0
2020-04-11,90.0
2020-04-12,90.0
2020-04-13,98.0
2020-04-14,100.0
2020-04-15,100.0
2020-04-16,102.0
2020-04-17,106.0
2020-04-18,111.0
2020-04-19,111.0
2020-04-20,117.0
2020-04-21,129.0
2020-04-22,138.0
2020-04-23,138.0
2020-04-24,146.0
2020-04-25,152.0
2020-04-26,152.0
2020-04-27,166.0
2020-04-28,231.0
2020-04-29,270.0
2020-04-30,296.0
2020-05-01,291.0
2020-05-02,320.0
2020-05-03,320.0
2020-05-04,336.0
2020-05-05,361.0
2020-05-06,392.0
2020-05-07,421.0
2020-05-08,425.0
2020-05-09,437.0
2020-05-10,449.0
2020-05-11,455.0
2020-05-12,528.0
2020-05-13,548.0
2020-05-14,585.0
2020-05-15,627.0
2020-05-16,632.0
2020-05-17,635.0
2020-05-18,698.0
2020-05-19,715.0
2020-05-20,717.0
2020-05-21,723.0
2020-05-22,840.0
2020-05-23,840.0
2020-05-24,778.0
2020-05-25,773.0
2020-05-26,766.0
2020-05-27,775.0
2020-05-28,850.0
2020-05-29,905.0
2020-05-30,898.0
2020-05-31,929.0
2020-06-01,989.0
2020-06-02,982.0
2020-06-03,988.0
2020-06-04,1028.0
2020-06-05,1051.0
2020-06-06,1082.0
2020-06-07,1088.0
2020-06-08,1088.0
2020-06-09,1147.0
2020-06-10,1198.0
2020-06-11,1219.0
2020-06-12,1221.0
2020-06-13,1222.0
2020-06-14,1223.0
2020-06-15,1237.0
2020-06-16,1267.0
2020-06-17,1309.0
2020-06-18,1384.0
2020-06-19,1461.0
2020-06-20,1522.0
2020-06-21,1525.0
2020-06-22,1542.0
2020-06-23,1606.0
2020-06-24,1860.0
2020-06-25,2021.0
2020-06-26,2234.0
2020-06-27,2348.0
2020-06-28,2394.0
2020-06-29,2467.0
2020-06-30,2639.0
2020-07-01,2800.0
2020-07-02,3119.0
2020-07-03,3370.0
2020-07-04,3649.0
2020-07-05,3695.0
2020-07-06,3762.0
2020-07-07,3941.0
2020-07-08,4171.0
2020-07-09,4446.0
2020-07-10,4694.0
2020-07-11,4899.0
