Data,CAMiT_An
2020-03-20,1.0
2020-03-21,2.0
2020-03-22,2.0
2020-03-23,2.0
2020-03-24,7.0
2020-03-25,8.0
2020-03-26,11.0
2020-03-27,11.0
2020-03-28,13.0
2020-03-29,16.0
2020-03-30,18.0
2020-03-31,25.0
2020-04-01,27.0
2020-04-02,36.0
2020-04-03,44.0
2020-04-04,56.0
2020-04-05,60.0
2020-04-06,76.0
2020-04-07,78.0
2020-04-08,90.0
2020-04-09,108.0
2020-04-10,112.0
2020-04-11,121.0
2020-04-12,123.0
2020-04-13,134.0
2020-04-14,138.0
2020-04-15,151.0
2020-04-16,156.0
2020-04-17,162.0
2020-04-18,171.0
2020-04-19,174.0
2020-04-20,181.0
2020-04-21,181.0
2020-04-22,183.0
2020-04-23,221.0
2020-04-24,240.0
2020-04-25,247.0
2020-04-26,250.0
2020-04-27,257.0
2020-04-28,261.0
2020-04-29,292.0
2020-04-30,297.0
2020-05-01,320.0
2020-05-02,331.0
2020-05-03,337.0
2020-05-04,344.0
2020-05-05,365.0
2020-05-06,379.0
2020-05-07,417.0
2020-05-08,457.0
2020-05-09,502.0
2020-05-10,519.0
2020-05-11,541.0
2020-05-12,591.0
2020-05-13,661.0
2020-05-14,719.0
2020-05-15,779.0
2020-05-16,851.0
2020-05-17,901.0
2020-05-18,937.0
2020-05-19,995.0
2020-05-20,1054.0
2020-05-21,1172.0
2020-05-22,1220.0
2020-05-23,1352.0
2020-05-24,1462.0
2020-05-25,1500.0
2020-05-26,1628.0
2020-05-27,1839.0
2020-05-28,1951.0
2020-05-29,2103.0
2020-05-30,2361.0
2020-05-31,2429.0
2020-06-01,2541.0
2020-06-02,2709.0
2020-06-03,2848.0
2020-06-04,3194.0
2020-06-05,3481.0
2020-06-06,3662.0
2020-06-07,3878.0
2020-06-08,4100.0
2020-06-09,4339.0
2020-06-10,4602.0
2020-06-11,5092.0
