Data,COMSRSCA50003
2020-03-27,0.0
2020-03-28,3.0
2020-03-29,5.0
2020-03-30,6.0
2020-03-31,8.0
2020-04-01,9.0
2020-04-02,11.0
2020-04-03,13.0
2020-04-04,15.0
2020-04-05,15.0
2020-04-06,15.0
2020-04-07,22.0
2020-04-08,22.0
2020-04-09,24.0
2020-04-10,24.0
2020-04-11,24.0
2020-04-12,25.0
2020-04-13,25.0
2020-04-14,27.0
2020-04-15,27.0
2020-04-16,28.0
2020-04-17,32.0
2020-04-18,32.0
2020-04-19,32.0
2020-04-20,32.0
2020-04-21,32.0
2020-04-22,32.0
2020-04-23,32.0
2020-04-24,32.0
2020-04-25,32.0
2020-04-26,32.0
2020-04-27,33.0
2020-04-28,33.0
2020-04-29,33.0
2020-04-30,34.0
2020-05-01,34.0
2020-05-02,34.0
2020-05-03,35.0
2020-05-04,35.0
2020-05-05,38.0
2020-05-06,39.0
2020-05-07,40.0
2020-05-08,41.0
2020-05-09,41.0
2020-05-10,42.0
2020-05-11,44.0
2020-05-12,45.0
2020-05-13,50.0
2020-05-14,55.0
2020-05-15,62.0
2020-05-16,78.0
2020-05-17,87.0
2020-05-18,112.0
2020-05-19,117.0
2020-05-20,139.0
2020-05-21,165.0
2020-05-22,183.0
2020-05-23,199.0
2020-05-24,244.0
2020-05-25,305.0
2020-05-26,353.0
2020-05-27,397.0
2020-05-28,437.0
2020-05-29,505.0
2020-05-30,547.0
2020-05-31,600.0
2020-06-01,652.0
2020-06-02,708.0
2020-06-03,820.0
2020-06-04,912.0
2020-06-05,958.0
2020-06-06,1039.0
2020-06-07,1135.0
2020-06-08,1190.0
2020-06-09,1271.0
2020-06-10,1380.0
2020-06-11,1489.0
2020-06-12,1564.0
2020-06-13,1723.0
2020-06-14,1857.0
2020-06-15,1930.0
2020-06-16,2045.0
2020-06-17,2223.0
