Data,CAGiO_An
2020-03-13,3
2020-03-14,3
2020-03-15,3
2020-03-16,3
2020-03-17,6
2020-03-18,8
2020-03-19,12
2020-03-20,15
2020-03-21,20
2020-03-22,21
2020-03-23,23
2020-03-24,27
2020-03-25,29
2020-03-26,39
2020-03-27,49
2020-03-28,56
2020-03-29,58
2020-03-30,61
2020-03-31,65
2020-04-01,71
2020-04-02,73
2020-04-03,88
2020-04-04,103
2020-04-05,115
2020-04-06,119
2020-04-07,133
2020-04-08,158
2020-04-09,179
2020-04-10,191
2020-04-11,209
2020-04-12,229
2020-04-13,233
2020-04-14,284
2020-04-15,304
2020-04-16,318
2020-04-17,335
2020-04-18,378
2020-04-19,393
2020-04-20,403
2020-04-21,421
2020-04-22,438
2020-04-23,453
2020-04-24,486
2020-04-25,506
2020-04-26,573
2020-04-27,616
2020-04-28,661
2020-04-29,705
2020-04-30,781
2020-05-01,808
2020-05-02,825
2020-05-03,850
2020-05-04,861
2020-05-05,922
2020-05-06,1024
2020-05-07,1027
2020-05-08,1053
2020-05-09,1069
2020-05-10,1093
2020-05-11,1100
2020-05-12,1115
2020-05-13,1134
2020-05-14,1423
2020-05-15,1572
2020-05-16,1640
2020-05-17,1692
2020-05-18,1749
2020-05-19,1846
2020-05-20,1978
2020-05-21,2114
2020-05-22,2304
2020-05-23,2377
2020-05-24,2443
2020-05-25,2512
2020-05-26,2671
