Data,NOAMRSCA13009
2020-03-27,0.0
2020-03-28,1.0
2020-03-29,1.0
2020-03-30,1.0
2020-03-31,1.0
2020-04-01,4.0
2020-04-02,7.0
2020-04-03,7.0
2020-04-04,7.0
2020-04-05,8.0
2020-04-06,11.0
2020-04-07,12.0
2020-04-08,14.0
2020-04-09,15.0
2020-04-10,17.0
2020-04-11,16.0
2020-04-12,19.0
2020-04-13,24.0
2020-04-14,30.0
2020-04-15,31.0
2020-04-16,36.0
2020-04-17,38.0
2020-04-18,39.0
2020-04-19,46.0
2020-04-20,46.0
2020-04-21,57.0
2020-04-22,75.0
2020-04-23,87.0
2020-04-24,110.0
2020-04-25,185.0
2020-04-26,214.0
2020-04-27,223.0
2020-04-28,239.0
2020-04-29,252.0
2020-04-30,320.0
2020-05-01,376.0
2020-05-02,394.0
2020-05-03,424.0
2020-05-04,558.0
2020-05-05,671.0
2020-05-06,812.0
2020-05-07,874.0
2020-05-08,919.0
2020-05-09,987.0
2020-05-10,1002.0
2020-05-11,1047.0
2020-05-12,1145.0
2020-05-13,1345.0
2020-05-14,1487.0
2020-05-15,1630.0
2020-05-16,1742.0
2020-05-17,1812.0
2020-05-18,1853.0
2020-05-19,2028.0
2020-05-20,2093.0
2020-05-21,2314.0
2020-05-22,2509.0
2020-05-23,2625.0
2020-05-24,2683.0
2020-05-25,2747.0
2020-05-26,2979.0
2020-05-27,3210.0
2020-05-28,3369.0
2020-05-29,3626.0
2020-05-30,3762.0
2020-05-31,3837.0
2020-06-01,3858.0
2020-06-02,4024.0
2020-06-03,4208.0
2020-06-04,4465.0
2020-06-05,4575.0
2020-06-06,4683.0
2020-06-07,4709.0
2020-06-08,4840.0
2020-06-09,4909.0
2020-06-10,5121.0
2020-06-11,5227.0
2020-06-12,5355.0
2020-06-13,5426.0
2020-06-14,5449.0
2020-06-15,5472.0
2020-06-16,5631.0
2020-06-17,5762.0
2020-06-18,5852.0
