Data,CNAiP_An
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,1.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,1.0
2020-03-27,0.0
2020-03-28,2.0
2020-03-29,0.0
2020-03-30,4.0
2020-03-31,2.0
2020-04-01,1.0
2020-04-02,0.0
2020-04-03,8.0
2020-04-04,9.0
2020-04-05,1.0
2020-04-06,5.0
2020-04-07,14.0
2020-04-08,59.0
2020-04-09,21.0
2020-04-10,38.0
2020-04-11,27.0
2020-04-12,37.0
2020-04-13,12.0
2020-04-14,65.0
2020-04-15,27.0
2020-04-16,28.0
2020-04-17,8.0
2020-04-18,23.0
2020-04-19,23.0
2020-04-20,17.0
2020-04-21,24.0
2020-04-22,22.0
2020-04-23,69.0
2020-04-24,85.0
2020-04-25,52.0
2020-04-26,113.0
2020-04-27,44.0
2020-04-28,76.0
2020-04-29,98.0
2020-04-30,64.0
2020-05-01,41.0
2020-05-02,66.0
2020-05-03,295.0
2020-05-04,251.0
2020-05-05,198.0
2020-05-06,115.0
2020-05-07,153.0
2020-05-08,123.0
2020-05-09,171.0
2020-05-10,120.0
2020-05-11,58.0
2020-05-12,239.0
2020-05-13,95.0
2020-05-14,423.0
2020-05-15,202.0
2020-05-16,204.0
2020-05-17,118.0
2020-05-18,71.0
2020-05-19,287.0
2020-05-20,239.0
2020-05-21,639.0
2020-05-22,467.0
2020-05-23,436.0
2020-05-24,262.0
2020-05-25,231.0
2020-05-26,383.0
2020-05-27,652.0
2020-05-28,533.0
2020-05-29,317.0
2020-05-30,844.0
2020-05-31,289.0
2020-06-01,288.0
2020-06-02,621.0
2020-06-03,596.0
2020-06-04,444.0
2020-06-05,776.0
2020-06-06,446.0
2020-06-07,272.0
2020-06-08,249.0
2020-06-09,477.0
2020-06-10,852.0
2020-06-11,543.0
2020-06-12,517.0
2020-06-13,639.0
2020-06-14,190.0
2020-06-15,301.0
2020-06-16,1211.0
2020-06-17,594.0
2020-06-18,769.0
2020-06-19,535.0
2020-06-20,1652.0
2020-06-21,266.0
2020-06-22,2842.0
2020-06-23,1755.0
2020-06-24,482.0
2020-06-25,496.0
2020-06-26,247.0
2020-06-27,239.0
2020-06-28,84.0
2020-06-29,268.0
2020-06-30,239.0
