Data,CNRiR_An
43886.0,0.0
43887.0,0.0
43888.0,0.0
43889.0,0.0
43890.0,0.0
43891.0,0.0
43892.0,0.0
43893.0,0.0
43894.0,0.0
43895.0,0.0
43896.0,0.0
43897.0,0.0
43898.0,0.0
43899.0,0.0
43900.0,0.0
43901.0,0.0
43902.0,0.0
43903.0,0.0
43904.0,0.0
43905.0,0.0
43906.0,0.0
43907.0,0.0
43908.0,0.0
43909.0,0.0
43910.0,0.0
43911.0,0.0
43912.0,2.0
43913.0,0.0
43914.0,0.0
43915.0,6.0
43916.0,0.0
43917.0,2.0
43918.0,2.0
43919.0,4.0
43920.0,0.0
43921.0,0.0
43922.0,6.0
43923.0,4.0
43924.0,4.0
43925.0,7.0
43926.0,5.0
43927.0,0.0
43928.0,0.0
43929.0,7.0
43930.0,3.0
43931.0,11.0
43932.0,12.0
43933.0,4.0
43934.0,4.0
43935.0,30.0
43936.0,1.0
43937.0,28.0
43938.0,22.0
43939.0,37.0
43940.0,21.0
43941.0,22.0
43942.0,3.0
43943.0,33.0
43944.0,17.0
43945.0,7.0
43946.0,41.0
43947.0,56.0
43948.0,6.0
43949.0,18.0
43950.0,27.0
43951.0,67.0
43952.0,83.0
43953.0,66.0
43954.0,72.0
43955.0,66.0
43956.0,63.0
43957.0,63.0
43958.0,88.0
43959.0,104.0
43960.0,78.0
43961.0,88.0
43962.0,5.0
43963.0,33.0
43964.0,83.0
43965.0,89.0
43966.0,89.0
43967.0,117.0
43968.0,85.0
43969.0,85.0
43970.0,109.0
43971.0,82.0
43972.0,79.0
43973.0,160.0
43974.0,68.0
43975.0,65.0
43976.0,75.0
43977.0,69.0
43978.0,99.0
43979.0,277.0
43980.0,139.0
43981.0,201.0
43982.0,175.0
43983.0,218.0
43984.0,158.0
43985.0,293.0
43986.0,340.0
