Data,CATiO_An
2020-05-30,2
2020-05-30,35
2020-05-30,3
2020-05-30,8
2020-05-30,4
2020-05-30,1
2020-05-30,7
2020-05-30,2
2020-05-30,1689
2020-05-30,3
2020-05-30,68
2020-05-30,1
2020-05-30,38
2020-05-30,2
2020-05-30,35
2020-05-30,2
2020-05-30,7
2020-05-30,2
2020-05-30,8
2020-05-30,1
2020-05-30,1
2020-05-30,12
2020-05-30,8
2020-05-30,1
2020-05-30,52
2020-05-30,1
2020-05-30,1
2020-05-30,79
2020-05-30,15
2020-05-30,1
2020-05-30,116
2020-05-30,1
2020-05-30,2
2020-05-30,5
2020-05-30,10
2020-05-30,9
2020-05-30,7
2020-05-30,15
2020-05-30,29
2020-05-30,14
2020-05-30,25
2020-05-30,48
2020-05-30,97
2020-05-30,2
2020-05-30,49
2020-05-30,3
2020-05-30,7
2020-05-30,1
2020-05-30,1
2020-05-30,2
2020-05-30,5
2020-05-30,14
2020-05-30,17
2020-05-30,16
2020-05-30,2
2020-05-30,24
2020-05-30,2
2020-05-30,105
2020-05-30,2
2020-05-30,2
2020-05-30,6
2020-05-30,1
2020-05-30,113
2020-05-30,3
2020-05-30,1
2020-05-30,3
2020-05-30,2
2020-05-30,1
2020-05-30,1
2020-05-30,4
2020-05-30,42
2020-05-30,30
2020-05-30,3
2020-05-30,5
2020-05-30,3
2020-05-30,9
2020-05-30,20
2020-05-30,5
2020-05-30,1
2020-05-30,3
2020-05-30,10
2020-05-30,62
2020-05-30,6
2020-05-30,1
2020-05-30,67
2020-05-30,578
2020-05-30,2
2020-05-30,103
2020-05-30,17
2020-05-30,158
2020-03-19,1
2020-03-20,1
2020-03-21,2
2020-03-22,2
2020-03-23,5
2020-03-24,7
2020-03-25,7
2020-03-26,7
2020-03-27,8
2020-03-28,9
2020-03-29,9
2020-03-30,10
2020-03-31,11
2020-04-01,12
2020-04-02,12
2020-04-03,12
2020-04-04,14
2020-04-05,17
2020-04-06,17
2020-04-07,19
2020-04-08,23
2020-04-09,23
2020-04-10,23
2020-04-11,23
2020-04-12,25
2020-04-13,26
2020-04-14,26
2020-04-15,26
2020-04-16,29
2020-04-17,31
2020-04-18,33
2020-04-19,33
2020-04-20,34
2020-04-21,37
2020-04-22,37
2020-04-23,37
2020-04-24,43
2020-04-25,50
2020-04-26,58
2020-04-27,67
2020-04-28,79
2020-04-29,116
2020-04-30,137
2020-05-01,164
2020-05-02,191
2020-05-03,246
2020-05-04,267
2020-05-05,303
2020-05-06,351
2020-05-07,423
2020-05-08,494
2020-05-09,572
2020-05-10,688
2020-05-11,747
2020-05-12,828
2020-05-13,932
2020-05-14,1029
2020-05-15,1179
2020-05-16,1279
2020-05-17,1382
2020-05-18,1496
2020-05-19,1646
2020-05-20,1809
2020-05-21,1976
2020-05-22,2205
2020-05-23,2430
2020-05-24,2591
2020-05-25,2696
2020-05-26,2858
2020-05-27,3023
2020-05-28,3277
2020-05-29,3611
2020-05-30,3981
2020-05-31,4176
