Data,CNRiS_An
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,1.0
2020-03-11,1.0
2020-03-12,2.0
2020-03-13,0.0
2020-03-14,2.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,4.0
2020-03-18,9.0
2020-03-19,9.0
2020-03-20,9.0
2020-03-21,23.0
2020-03-22,12.0
2020-03-23,14.0
2020-03-24,12.0
2020-03-25,25.0
2020-03-26,45.0
2020-03-27,27.0
2020-03-28,2.0
2020-03-29,29.0
2020-03-30,15.0
2020-03-31,33.0
2020-04-01,32.0
2020-04-02,28.0
2020-04-03,62.0
2020-04-04,14.0
2020-04-05,8.0
2020-04-06,63.0
2020-04-07,27.0
2020-04-08,47.0
2020-04-09,63.0
2020-04-10,18.0
2020-04-11,4.0
2020-04-12,13.0
2020-04-13,11.0
2020-04-14,36.0
2020-04-15,47.0
2020-04-16,33.0
2020-04-17,22.0
2020-04-18,29.0
2020-04-19,23.0
2020-04-20,35.0
2020-04-21,15.0
2020-04-22,19.0
2020-04-23,71.0
2020-04-24,67.0
2020-04-25,35.0
2020-04-26,70.0
2020-04-27,62.0
2020-04-28,58.0
2020-04-29,82.0
2020-04-30,98.0
2020-05-01,63.0
2020-05-02,90.0
2020-05-03,47.0
2020-05-04,45.0
2020-05-05,104.0
2020-05-06,235.0
2020-05-07,79.0
2020-05-08,318.0
2020-05-09,46.0
2020-05-10,49.0
2020-05-11,34.0
2020-05-12,341.0
2020-05-13,0.0
2020-05-14,80.0
2020-05-15,600.0
2020-05-16,98.0
2020-05-17,40.0
2020-05-18,0.0
2020-05-19,15.0
2020-05-20,1223.0
2020-05-21,500.0
2020-05-22,445.0
2020-05-23,418.0
2020-05-24,134.0
2020-05-25,89.0
2020-05-26,226.0
2020-05-27,263.0
2020-05-28,1186.0
2020-05-29,0.0
2020-05-30,1008.0
2020-05-31,90.0
2020-06-01,0.0
2020-06-02,587.0
2020-06-03,479.0
2020-06-04,612.0
2020-06-05,573.0
2020-06-06,454.0
2020-06-07,98.0
2020-06-08,115.0
2020-06-09,552.0
2020-06-10,817.0
2020-06-11,549.0
2020-06-12,216.0
2020-06-13,243.0
2020-06-14,34.0
2020-06-15,777.0
2020-06-16,1033.0
2020-06-17,657.0
2020-06-18,694.0
2020-06-19,765.0
2020-06-20,551.0
2020-06-21,210.0
2020-06-22,362.0
2020-06-23,1154.0
2020-06-24,1145.0
2020-06-25,1051.0
2020-06-26,1054.0
2020-06-27,886.0
2020-06-28,243.0
2020-06-29,416.0
2020-06-30,1282.0
2020-07-01,1230.0
2020-07-02,1024.0
2020-07-03,1176.0
2020-07-04,1248.0
2020-07-05,336.0
2020-07-06,446.0
2020-07-07,1399.0
2020-07-08,1757.0
2020-07-09,877.0
2020-07-10,1056.0
2020-07-11,1230.0
2020-07-12,520.0
2020-07-13,416.0
2020-07-14,1337.0
2020-07-15,1246.0
2020-07-16,3105.0
2020-07-17,1366.0
2020-07-18,137.0
2020-07-19,266.0
