Data,NEPERSCA26003
2020-03-27,0.0
2020-03-28,2.0
2020-03-29,2.0
2020-03-30,2.0
2020-03-31,2.0
2020-04-01,2.0
2020-04-02,2.0
2020-04-03,2.0
2020-04-04,3.0
2020-04-05,3.0
2020-04-06,5.0
2020-04-07,5.0
2020-04-08,5.0
2020-04-09,8.0
2020-04-10,10.0
2020-04-11,18.0
2020-04-12,21.0
2020-04-13,24.0
2020-04-14,24.0
2020-04-15,25.0
2020-04-16,28.0
2020-04-17,39.0
2020-04-18,42.0
2020-04-19,46.0
2020-04-20,46.0
2020-04-21,51.0
2020-04-22,51.0
2020-04-23,52.0
2020-04-24,65.0
2020-04-25,72.0
2020-04-26,76.0
2020-04-27,84.0
2020-04-28,90.0
2020-04-29,97.0
2020-04-30,110.0
2020-05-01,116.0
2020-05-02,132.0
2020-05-03,137.0
2020-05-04,144.0
2020-05-05,164.0
2020-05-06,170.0
2020-05-07,184.0
2020-05-08,205.0
2020-05-09,226.0
2020-05-10,248.0
2020-05-11,271.0
2020-05-12,284.0
2020-05-13,325.0
2020-05-14,344.0
2020-05-15,377.0
2020-05-16,462.0
2020-05-17,493.0
2020-05-18,533.0
2020-05-19,569.0
2020-05-20,655.0
2020-05-21,722.0
2020-05-22,761.0
2020-05-23,839.0
2020-05-24,899.0
2020-05-25,924.0
2020-05-26,962.0
2020-05-27,1007.0
2020-05-28,1045.0
2020-05-29,1145.0
2020-05-30,1267.0
2020-05-31,1392.0
2020-06-01,1451.0
2020-06-02,1512.0
2020-06-03,1643.0
2020-06-04,1724.0
2020-06-05,1843.0
2020-06-06,1956.0
2020-06-07,2044.0
2020-06-08,2071.0
2020-06-09,2128.0
2020-06-10,2253.0
2020-06-11,2408.0
2020-06-12,2554.0
2020-06-13,2648.0
2020-06-14,2771.0
2020-06-15,2807.0
2020-06-16,2981.0
2020-06-17,3145.0
2020-06-18,3276.0
2020-06-19,3454.0
2020-06-20,3662.0
2020-06-21,3825.0
2020-06-22,3882.0
2020-06-23,3954.0
2020-06-24,4176.0
2020-06-25,4424.0
2020-06-26,4707.0
2020-06-27,4961.0
2020-06-28,5184.0
2020-06-29,5279.0
2020-06-30,5420.0
2020-07-01,5599.0
2020-07-02,5879.0
2020-07-03,6321.0
2020-07-04,6693.0
2020-07-05,7115.0
2020-07-06,7226.0
2020-07-07,7381.0
2020-07-08,7752.0
2020-07-09,8044.0
2020-07-10,8362.0
2020-07-11,8722.0
2020-07-12,9008.0
2020-07-13,9111.0
2020-07-14,9304.0
2020-07-15,9667.0
2020-07-16,9975.0
2020-07-17,10281.0
