Data,NEPBRSCA25012
2020-04-22,1.0
2020-04-23,1.0
2020-04-24,1.0
2020-04-25,4.0
2020-04-26,5.0
2020-04-27,5.0
2020-04-28,6.0
2020-04-29,7.0
2020-04-30,8.0
2020-05-01,8.0
2020-05-02,10.0
2020-05-03,13.0
2020-05-04,13.0
2020-05-05,16.0
2020-05-06,20.0
2020-05-07,24.0
2020-05-08,41.0
2020-05-09,45.0
2020-05-10,56.0
2020-05-11,58.0
2020-05-12,74.0
2020-05-13,92.0
2020-05-14,110.0
2020-05-15,126.0
2020-05-16,169.0
2020-05-17,179.0
2020-05-18,203.0
2020-05-19,247.0
2020-05-20,291.0
2020-05-21,302.0
2020-05-22,391.0
2020-05-23,405.0
2020-05-24,443.0
2020-05-25,450.0
2020-05-26,533.0
2020-05-27,612.0
2020-05-28,698.0
2020-05-29,807.0
2020-05-30,857.0
2020-05-31,877.0
2020-06-01,907.0
2020-06-02,1019.0
2020-06-03,1093.0
2020-06-04,1200.0
2020-06-05,1288.0
2020-06-06,1341.0
2020-06-07,1360.0
2020-06-08,1395.0
2020-06-09,1528.0
