Data,RNBiR_An
43886.0,0
43887.0,0
43888.0,0
43889.0,0
43890.0,0
43891.0,0
43892.0,0
43893.0,0
43894.0,0
43895.0,0
43896.0,0
43897.0,0
43898.0,0
43899.0,0
43900.0,0
43901.0,0
43902.0,0
43903.0,0
43904.0,0
43905.0,0
43906.0,0
43907.0,0
43908.0,0
43909.0,0
43910.0,0
43911.0,0
43912.0,0
43913.0,0
43914.0,0
43915.0,0
43916.0,0
43917.0,0
43918.0,0
43919.0,0
43920.0,0
43921.0,0
43922.0,0
43923.0,0
43924.0,0
43925.0,0
43926.0,0
43927.0,0
43928.0,0
43929.0,0
43930.0,0
43931.0,0
43932.0,0
43933.0,0
43934.0,0
43935.0,0
43936.0,0
43937.0,0
43938.0,0
43939.0,0
43940.0,22130.0
43941.0,22991.0
43942.0,24325.0
43943.0,25318.0
43944.0,26573.0
43945.0,27655.0
43946.0,29160.0
43947.0,30152.0
43948.0,31142.0
43949.0,32544.0
43950.0,34132.0
43951.0,35935.0
43952.0,38039.0
43953.0,40937.0
43954.0,42991.0
43955.0,45186.0
43956.0,48221.0
43957.0,51370.0
43958.0,55350.0
43959.0,59297.0
43960.0,61685.0
43961.0,64957.0
43962.0,67384.0
43963.0,72597.0
43964.0,78424.0
43965.0,79479.0
43966.0,84970.0
43967.0,89672.0
43968.0,94122.0
43969.0,100459.0
43970.0,106794.0
43971.0,116683.0
43972.0,125960.0
43973.0,135430.0
43974.0,142587.0
43975.0,149911.0
43976.0,153833.0
43977.0,158593.0
43978.0,166647.0
43979.0,177604.0
43980.0,189476.0
43981.0,200892.0
43982.0,206555.0
43983.0,211080.0
43984.0,223638.0
43985.0,238617.0
43986.0,254963.0
