Data,NORORSCA11001
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,2.0
2020-04-11,2.0
2020-04-12,2.0
2020-04-13,7.0
2020-04-14,3.0
2020-04-15,7.0
2020-04-16,7.0
2020-04-17,17.0
2020-04-18,22.0
2020-04-19,23.0
2020-04-20,32.0
2020-04-21,46.0
2020-04-22,41.0
2020-04-23,49.0
2020-04-24,50.0
2020-04-25,51.0
2020-04-26,62.0
2020-04-27,64.0
2020-04-28,64.0
2020-04-29,67.0
2020-04-30,74.0
2020-05-01,82.0
2020-05-02,90.0
2020-05-03,96.0
2020-05-04,97.0
2020-05-05,95.0
2020-05-06,104.0
2020-05-07,128.0
2020-05-08,127.0
2020-05-09,129.0
2020-05-10,132.0
2020-05-11,131.0
2020-05-12,139.0
2020-05-13,145.0
2020-05-14,153.0
2020-05-15,159.0
2020-05-16,170.0
2020-05-17,175.0
2020-05-18,184.0
2020-05-19,194.0
2020-05-20,221.0
2020-05-21,235.0
2020-05-22,252.0
2020-05-23,268.0
2020-05-24,270.0
2020-05-25,281.0
2020-05-26,303.0
2020-05-27,335.0
2020-05-28,369.0
2020-05-29,374.0
2020-05-30,390.0
2020-05-31,426.0
2020-06-01,433.0
2020-06-02,469.0
2020-06-03,510.0
2020-06-04,576.0
2020-06-05,610.0
2020-06-06,680.0
2020-06-07,714.0
2020-06-08,756.0
2020-06-09,805.0
2020-06-10,855.0
2020-06-11,907.0
2020-06-12,914.0
2020-06-13,956.0
2020-06-14,997.0
2020-06-15,1022.0
2020-06-16,1090.0
