Data,NEALRSOA27002
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,1.0
2020-04-19,1.0
2020-04-20,1.0
2020-04-21,1.0
2020-04-22,1.0
2020-04-23,1.0
2020-04-24,1.0
2020-04-25,1.0
2020-04-26,2.0
2020-04-27,2.0
2020-04-28,2.0
2020-04-29,3.0
2020-04-30,3.0
2020-05-01,3.0
2020-05-02,3.0
2020-05-03,3.0
2020-05-04,3.0
2020-05-05,3.0
2020-05-06,3.0
2020-05-07,3.0
2020-05-08,3.0
2020-05-09,3.0
2020-05-10,4.0
2020-05-11,5.0
2020-05-12,5.0
2020-05-13,5.0
2020-05-14,6.0
2020-05-15,6.0
2020-05-16,6.0
2020-05-17,7.0
2020-05-18,7.0
2020-05-19,7.0
2020-05-20,7.0
2020-05-21,9.0
2020-05-22,9.0
2020-05-23,9.0
2020-05-24,10.0
2020-05-25,10.0
2020-05-26,12.0
2020-05-27,13.0
2020-05-28,13.0
2020-05-29,14.0
2020-05-30,14.0
2020-05-31,14.0
2020-06-01,14.0
2020-06-02,14.0
2020-06-03,16.0
2020-06-04,16.0
2020-06-05,17.0
2020-06-06,18.0
2020-06-07,22.0
2020-06-08,22.0
2020-06-09,25.0
2020-06-10,25.0
2020-06-11,27.0
2020-06-12,29.0
