Data,SEMGRSCA31086
2020-03-27,0.0
2020-03-28,6.0
2020-03-29,8.0
2020-03-30,10.0
2020-03-31,10.0
2020-04-01,14.0
2020-04-02,10.0
2020-04-03,13.0
2020-04-04,15.0
2020-04-05,16.0
2020-04-06,16.0
2020-04-07,16.0
2020-04-08,18.0
2020-04-09,21.0
2020-04-10,22.0
2020-04-11,24.0
2020-04-12,25.0
2020-04-13,25.0
2020-04-14,35.0
2020-04-15,35.0
2020-04-16,39.0
2020-04-17,41.0
2020-04-18,41.0
2020-04-19,42.0
2020-04-20,44.0
2020-04-21,46.0
2020-04-22,46.0
2020-04-23,50.0
2020-04-24,60.0
2020-04-25,67.0
2020-04-26,67.0
2020-04-27,70.0
2020-04-28,71.0
2020-04-29,90.0
2020-04-30,90.0
2020-05-01,90.0
2020-05-02,91.0
2020-05-03,94.0
2020-05-04,95.0
2020-05-05,96.0
2020-05-06,114.0
2020-05-07,114.0
2020-05-08,131.0
2020-05-09,131.0
2020-05-10,134.0
2020-05-11,135.0
2020-05-12,138.0
2020-05-13,151.0
2020-05-14,154.0
2020-05-15,164.0
2020-05-16,169.0
2020-05-17,170.0
2020-05-18,174.0
2020-05-19,176.0
2020-05-20,176.0
2020-05-21,182.0
2020-05-22,185.0
2020-05-23,202.0
2020-05-24,205.0
2020-05-25,205.0
2020-05-26,209.0
2020-05-27,244.0
2020-05-28,252.0
2020-05-29,253.0
2020-05-30,265.0
2020-05-31,278.0
2020-06-01,281.0
2020-06-02,284.0
2020-06-03,291.0
2020-06-04,296.0
2020-06-05,323.0
2020-06-06,328.0
2020-06-07,329.0
2020-06-08,329.0
2020-06-09,329.0
2020-06-10,349.0
2020-06-11,351.0
2020-06-12,355.0
2020-06-13,367.0
2020-06-14,372.0
2020-06-15,372.0
2020-06-16,372.0
2020-06-17,403.0
2020-06-18,429.0
2020-06-19,443.0
2020-06-20,453.0
2020-06-21,454.0
2020-06-22,461.0
2020-06-23,481.0
2020-06-24,492.0
2020-06-25,493.0
