Data,CNPiA_An
2020-03-19,1.0
2020-03-20,1.0
2020-03-21,0.0
2020-03-22,2.0
2020-03-23,1.0
2020-03-24,0.0
2020-03-25,2.0
2020-03-26,6.0
2020-03-27,0.0
2020-03-28,4.0
2020-03-29,1.0
2020-03-30,3.0
2020-03-31,11.0
2020-04-01,8.0
2020-04-02,6.0
2020-04-03,4.0
2020-04-04,30.0
2020-04-05,6.0
2020-04-06,16.0
2020-04-07,36.0
2020-04-08,29.0
2020-04-09,1.0
2020-04-10,2.0
2020-04-11,47.0
2020-04-12,29.0
2020-04-13,24.0
2020-04-14,53.0
2020-04-15,61.0
2020-04-16,54.0
2020-04-17,119.0
2020-04-18,83.0
2020-04-19,45.0
2020-04-20,217.0
2020-04-21,124.0
2020-04-22,169.0
2020-04-23,72.0
2020-04-24,179.0
2020-04-25,133.0
2020-04-26,288.0
2020-04-27,261.0
2020-04-28,134.0
2020-04-29,160.0
2020-04-30,454.0
2020-05-01,300.0
2020-05-02,284.0
2020-05-03,403.0
2020-05-04,262.0
2020-05-05,347.0
2020-05-06,545.0
2020-05-07,507.0
2020-05-08,617.0
2020-05-09,634.0
2020-05-10,481.0
2020-05-11,307.0
2020-05-12,1053.0
2020-05-13,1002.0
2020-05-14,1249.0
2020-05-15,1242.0
2020-05-16,1075.0
2020-05-17,680.0
2020-05-18,870.0
2020-05-19,1561.0
2020-05-20,1840.0
2020-05-21,1621.0
2020-05-22,1713.0
2020-05-23,1228.0
2020-05-24,1428.0
2020-05-25,1952.0
2020-05-26,2523.0
2020-05-27,2433.0
2020-05-28,2666.0
2020-05-29,2787.0
2020-05-30,810.0
2020-05-31,665.0
2020-06-01,85.0
2020-06-02,3161.0
2020-06-03,3567.0
2020-06-04,3275.0
2020-06-05,2911.0
2020-06-06,2216.0
2020-06-07,1095.0
2020-06-08,1761.0
